"Hi... Everything okay?"	"嗨……一切都好嗎？"	"Mon"
"I've learned a lot from my parrot family..."	"我從我的鸚鵡家族學到很多事情……"	"Mon4"
"But I'm sure there's a lot more out there I don't know."	"但我很確定，在外面的世界裡還有更多我不知道的東西。"	"Mon4"
"When Sun is angry, it feels good in the jungle."	"太陽發怒、烈日當頭的時候，待在叢林中就很舒服。"	"Tue"
"Sun can't find us beneath the leaves. We trick him! Haha..."	"躲在葉子下面，太陽就找不到我們了。我們把他給耍了！哈哈……"	"Tue"
"...Sorry... I'm shy today."	"……抱歉……我今天有點不好意思。"	"Wed"
"Be careful in the volcano... the spirits don't like outsiders."	"在火山裡要小心……精靈不喜歡外來者。"	"Wed2"
"Have you met the others like you?"	"你見過像你這樣的人嗎？"	"Thu"
"I don't talk to them much. I feel safer with my own kind..."	"我不怎麼跟他們說話，和我自己的同類待在一起，我感覺更安全……"	"Thu"
"One time... I was at the top of the volcano at night, and I saw lights far, far away."	"有一天晚上……我在火山頂端，我看到遠處有光亮。"	"Fri"
"I wonder if there are other bird families out there?"	"我想知道，那裡是不是住著其他的鳥兒家族？"	"Fri"
"I wonder if I could see your home from the top of the volcano?"	"我在想，我能不能在火山頂端望見你的家？"	"Fri3"
"...I'm sad today."	"……我今天很傷心。"	"Sat"
"You go on... have fun. Let me be sad."	"你繼續……找樂子吧。讓我傷心就好。"	"Sat"
"When it rains, strange birds visit."	"下雨的時候，會有陌生的鳥兒來訪。"	"Sun"
"I try to speak to them... but they fly away."	"我試著跟牠們說話……但牠們飛走了。"	"Sun"
"I guess they don't want to be friends..."	"我猜，牠們不想交朋友……"	"Sun"
