"So, how was your first night in the old cottage?"	"你在那個破屋裡過的第一晚怎麼樣？"	"Introduction"
"Your grandpa used to complain about the rickety old bed. But I think, deep down, he actually loved that house."	"你爺爺以前總是抱怨那張搖搖晃晃的舊床。但我覺得，他心裡其實是愛著那間房子的。"	"Introduction"
"I'm impressed, @. You've really fixed up the place!"	"@，你真了不起。你真的把這個地方修好了！"	"Resort"
"Everyone aboard! We're heading back to the valley!"	"大家快上船！我們要回星露谷了！"	"Resort_Leaving"
"Vacation opportunities like this could really expand the local economy!"	"這種度假的機會能夠很有效地帶動當地經濟！"	"Resort_Shore"
"I'd better not stay in the sun too long, or my moustache will dry out."	"我最好還是不要在太陽裡待太久，不然我的鬍子就會乾掉。"	"Resort_Shore"
"Hehe... look at this place! I don't know how you did it, but this little vacation spot is the talk of the town."	"嘿嘿……看看這地方！我不知道你是怎麼做到的，整個城鎮竟然都在討論這個小小的度假區了。"	"Resort_Chair"
"Hehe... Gus is really in his element."	"嘿嘿……格斯真是得心應手啊。"	"Resort_Bar"
"@, I heard what you did for Pam and Penny... now *that's* the kind of community support I love to see in Pelican Town!"	"@，我聽說了你幫潘姆和佩妮做的事……社區居民彼此照應互相幫助，這就是我在鵜鶘鎮喜聞樂見的！"	"pamHouseUpgrade"
"@, did you hear? Someone paid Robin to build Pam and Penny a house! Robin won't tell me who it was, though."	"@，你聽說了嗎？有人付錢請羅賓幫潘姆和佩妮蓋一棟新房子！不過羅賓不告訴我是誰。"	"pamHouseUpgradeAnonymous"
"Regardless of who paid, I love seeing this kind of community support in Pelican Town!"	"是誰都無所謂，社區居民彼此照應互相幫助，這就是我在鵜鶘鎮喜聞樂見的！"	"pamHouseUpgradeAnonymous"
"*sniff*... *sniff*... can you smell that? I've been catching hints of fresh crab all day..."	"（聞聞）你聞到了嗎？我今天一整天一直聞到新鮮螃蟹的味道……"	"willyCrabs"
"*sniff*... *sniff*... Ah, I sense you've been spending some time in the old Community Center. It's good to know someone's taking care of the place."	"（聞聞）啊，你最近是不是常常待在舊活動中心？真是太好了，還有人在整理那個地方。"	"cc_Begin"
"I've never felt such an overwhelming pride in our community. You've done Pelican Town a great service, @."	"我從未在我們的社區感受到如此巨大的自豪感。你為鵜鶘鎮所做的服務真是太棒了，@。"	"cc_Complete"
"@, did you hear? It seems the old town bus started working again overnight!"	"@，你聽說了嗎？舊城巴士一夜之間似乎又開始運作了！"	"cc_Bus"
"That old thing has been dormant for decades... This is truly a great mystery."	"這舊東西幾十年來一直處於休眠狀態……這確實是一個很大的謎團。"	"cc_Bus"
"So, the old Community Center is gone... I guess times change, and good things come and go... Yet I can't help but feel a sense of loss."	"所以，舊活動中心不見了……我猜時代在變，好東西來了又去……然而，我不禁有一點失落感。"	"joja_Begin"
"I just hope this doesn't mar my record as Mayor."	"我只希望這不會損害我作為鎮長的成績。"	"joja_Begin"
"It's a good season to start thinking about gardening, even for us non-farmers."	"現在可是做園藝的好時節啊，甚至對我們這些不是農夫的人來說也一樣。"	"Mon"
" The valley is known for producing some of the finest spring flowers!"	"星露谷因為出產最美的春季花卉而出名！"	"Mon"
"Just place anything you want to sell in the shipping box next to your house."	"把你想要賣掉的東西都放到你房子旁邊的包裝箱裡。"	"Tue"
"I'll be interested in seeing what kinds of things you put in there."	"我會去看看你往裡面放了什麼的。"	"Tue"
"Hi, Gus!"	"嗨，格斯！"	"Saloon_Entry"
"At the start of each season you'll have to remove the previous season's dead crops. It's easiest with a scythe."	"每個季節伊始，你都得先除掉上個季節的死掉的作物。用鐮刀是最方便的。"	"Tue2"
"Have you planted any spring crops yet? The season doesn't last forever, you know."	"你開始種春天的作物了嗎？時間可不等人哦。"	"spring_3"
"You're in town early, huh? Finished with your farm chores already?"	"你今天來得挺早的嘛。農場的工作都忙完了嗎？"	"Town_57_40"
"Good morning! I'm just checking on the garden as usual."	"早啊！我還是跟平常一樣在檢查花園而已。"	"Town_57_40"
"Hmm... are these aphids?"	"嗯……這些是蚜蟲嗎？"	"Town_57_40"
"Hmm... I hope these aren't scale bugs..."	"嗯……希望不是蚧殼蟲啊……"	"Town_57_40"
"Hmm... tax collection... *mumble* ...spring festivities expenses... *mumble*..."	"嗯……收稅……春季節日開銷……（喃喃自語）"	"Wed"
"Yes?"	"怎麼了？"	"Wed"
"Ah... There's nothing like a strong cup of tea in the morning."	"啊……沒什麼比得上清晨的一杯濃茶了。"	"spring_10"
"The saloon can get pretty lively at night. Sometimes we even put a coin in the jukebox *chuckle*"	"酒吧晚上會變得很熱鬧。有時候我們甚至會用自動點唱機點歌，呵呵。"	"Thu"
"I like to visit once a week or so to catch up on things, anyway."	"不管怎麼樣，我通常每週會找個時間去坐坐，跟大家聊聊天。"	"Thu"
