"Finally... some heavy rain. I get bored of sunny weather easily."	"終於……下大雨了。我很容易對晴天感到厭煩。"	"Rainy_Day_0"
"Hey. I was just thinking about my old room in the basement. I felt comfortable there, but this is a lot more interesting. And I don't miss the smell..."	"嘿。我只是在想我在地下室的舊房間。我在那裡感覺很舒服，但是這裡更有趣些。而且我不喜歡那味道……"	"Rainy_Day_1"
"I felt kind of embarrassed living in my mom's house for so long."	"住在我媽房子裡這麼久我覺得有點尷尬。"	"Rainy_Day_1"
"Hey. I couldn't sleep last night so I took a walk to the caves. I found this... want it?[575 769 767 84 66 78]"	"嘿。昨晚我睡不著，所以我去山洞走了走。我找到了這個，想要嗎？[575 769 767 84 66 78]"	"Rainy_Day_2"
"I just have trouble sleeping sometimes, it has nothing to do with you. I love you."	"我只是偶爾會失眠，這與你無關。我愛你。"	"Rainy_Day_2"
"Seems like a pretty good day to just lay around, maybe read a book or something... what do you think?"	"今天似乎很適合躺著，或許看書或者做點別的……你覺得呢？"	"Rainy_Day_3"
"Hey, another rainy day... perfect."	"嘿，又是雨天……太好了。"	"Rainy_Day_4"
"You look cold... here, come closer."	"你看起來很冷……來，靠近點我這裡。"	"Rainy_Day_4"
"I'm trying my best to quit smoking now that we're married... I don't wanna die on you. It's a bad habit."	"既然我們結婚了，現在我在盡最大努力戒菸……我不想比你先去世。這是個壞習慣。"	"Rainy_Night_0"
"I want to have a future together."	"我想和你共創未來。"	"Rainy_Night_0"
"Need something? I'll just be over here working on my bike for a while."	"有什麼事嗎？我就在這保養一會我的摩托車。"	"patio_Sebastian"
"I did some work on the laptop today. I was actually brainstorming some ideas for a game I want to make."	"我今天用筆記型電腦完成了些工作。實際上我想出了一些我想做的遊戲的點子。"	"Rainy_Night_1"
"With your farming income, I can afford to do what I want with my life. It's pretty amazing. Thank you."	"靠著你的農場收入，我可以實現自己的人生理想。太棒啦。謝謝。"	"Rainy_Night_1"
"Sorry, I didn't make any dinner. We might have a frozen pizza in the fridge or something."	"抱歉，我沒做晚餐。我們可以吃點冰箱裡的冷披薩或者別的。"	"Rainy_Night_2"
"I dunno, my mind was elsewhere. It's hard to remember to do chores..."	"我不知道，我在想別的。我經常會忘記做家務……"	"Rainy_Night_2"
"How was your day? Did you slay any monsters?"	"今天過得怎麼樣？你有沒有殺死什麼怪物？"	"Rainy_Night_3"
"It feels good to take out your aggression now and then, doesn't it?"	"不時發洩一下的感覺也很好，不是嗎？"	"Rainy_Night_3"
"Maybe a witch will visit us tonight? Hah.. if only life was that interesting..."	"或許今晚會有一位女巫前來拜訪？哈……如果生活有那麼有趣就好了……"	"Rainy_Night_4"
