"Oh! You brought the cave carrot! Thank you so much, Mr. @."	"噢！你把洞穴胡蘿蔔拿來了！太感謝你了，@先生。"	"92/e 91/i 78/t 900 1700"
"Oh! You brought the cave carrot! Thank you so much, Ms. @."	"噢！你把洞穴胡蘿蔔拿來了！太感謝你了，@小姐。"	"92/e 91/i 78/t 900 1700"
"This looks great... I almost want to eat it myself!"	"看起來很不錯……我都忍不住要自己吃了！"	"92/e 91/i 78/t 900 1700"
"...almost."	"……開玩笑呢。"	"92/e 91/i 78/t 900 1700"
"I hope it wasn't too much trouble... I really do appreciate it."	"希望沒給你添麻煩……十分感激你能幫忙"	"92/e 91/i 78/t 900 1700"
"Thanks again for helping me out."	"再次感謝你能幫忙。"	"92/e 91/i 78/t 900 1700"
"...and my goats say 'thanks' too."	"我的羊也向你說「謝謝」了。"	"92/e 91/i 78/t 900 1700"
"Shane?"	"謝恩？"	"3910674/f Shane 1000"
"Oh dear..."	"噢！親愛的……"	"3910674/f Shane 1000"
"@... Can you do something? He's out cold."	"@……你能幫忙嗎？他正處於人生低潮。"	"3910674/f Shane 1000"
"buhhh..."	"不……"	"3910674/f Shane 1000"
"Whaa..?!"	"什……？！"	"3910674/f Shane 1000"
"Shane! What's the matter with you? All you do anymore is mope around your room and drink beer!"	"謝恩！你怎麼了？你所能做的一切就是躲在你的房間憂鬱地喝啤酒嗎！"	"3910674/f Shane 1000"
"..."	"……"	"3910674/f Shane 1000"
"You wouldn't understand..."	"你不懂……"	"3910674/f Shane 1000"
"I'm worried..."	"我擔心……"	"3910674/f Shane 1000"
"What's your plan? Don't you ever think about the future?"	"你的計畫是什麼？你想過未來嗎？"	"3910674/f Shane 1000"
"Plan?"	"計畫？"	"3910674/f Shane 1000"
"Hopefully I won't be around long enough to need a 'plan'..."	"希望找到我的人生計畫不需要花費很長時間……"	"3910674/f Shane 1000"
"...*sob*..."	"……*嗚嗚*……"	"3910674/f Shane 1000"
"Jas..."	"潔絲……"	"3910674/f Shane 1000"
"I'm sorry..."	"對不起……"	"3910674/f Shane 1000"
"Hi Shane... you look unusually happy today."	"嗨，謝恩……你今天看起來開心地有點不尋常。"	"3910974/f Shane 1700/e 3910975/p Shane"
"You're right... I haven't felt this light since I was a kid."	"是的……我從小就沒有感受這種心情。"	"3910974/f Shane 1700/e 3910975/p Shane"
"Let me guess... Gus had a clearance sale on canned beer?"	"讓我猜一猜……格斯店裡的罐裝啤酒做大促銷嗎？"	"3910974/f Shane 1700/e 3910975/p Shane"
"Good one..."	"其中一個……"	"3910974/f Shane 1700/e 3910975/p Shane"
"No, actually. I've been drinking sparkling water instead of beer... and I feel great!"	"事實上並不是。現在我已經改喝蘇打水了……而且我覺得很好喝！"	"3910974/f Shane 1700/e 3910975/p Shane"
"You know, I sometimes forget that I really do have friends, people that care about me."	"你知道的，我有時候會忘記我擁有真心朋友，大家都很關心我。"	"3910974/f Shane 1700/e 3910975/p Shane"
"And it's okay for me to rely on them... it doesn't make me weak."	"讓我知道我可以依賴他們……這使我並不那麼脆弱。"	"3910974/f Shane 1700/e 3910975/p Shane"
"He looks sharp!"	"他看起來很耀眼！"	"3910974/f Shane 1700/e 3910975/p Shane"
"Hi Jas. I've got something for you."	"嗨，潔絲。我有東西要給你。"	"3910974/f Shane 1700/e 3910975/p Shane"
"Th... These are real bunny-jewel slippers!!"	"這……這是真的兔子寶石靴子！！"	"3910974/f Shane 1700/e 3910975/p Shane"
"B... But these are so expensive!"	"但……但這很貴！"	"3910974/f Shane 1700/e 3910975/p Shane"
"How did you afford them?"	"你是怎麼買到的？"	"3910974/f Shane 1700/e 3910975/p Shane"
