"My dear boy..."	"我親愛的孩子……"	"558291/y 3/H"
"My dearest grand-daughter..."	"我親愛的孫女……"	"558291/y 3/H"
"It's been many years since we last spoke. You were just a little boy... Do you remember?"	"自從我們最後一次講話，已經過去了很多年。你那時還很小……記得嗎？"	"558291/y 3/H"
"It's been many years since we last spoke. You were just a little girl... Do you remember?"	"自從我們最後一次講話，已經過去了很多年。你那時還是個小女孩……記得嗎？"	"558291/y 3/H"
"Look how far you've come!"	"你現在已經長大了啊！"	"558291/y 3/H"
"Though you may have forgotten me, I've been here all along."	"雖然你也許已經忘了我，但我一直都陪著你"	"558291/y 3/H"
"You see... My body has departed this world, but my heart will always remain in Stardew Valley."	"雖然……我的身體離開了這個世界，但我的心永遠留在星露谷。"	"558291/y 3/H"
"You've been here two years now..."	"你來到這裡已經兩年了……"	"558291/y 3/H"
"The future of %farm Farm is in your hands, now."	"farm的未來掌握在你手裡"	"558291/y 3/H"
"Farewell!"	"再見！"	"558291/y 3/H"
"My dear boy..."	"我親愛的孩子……"	"558292/e 321777/t 600 620/H"
"My dearest grand-daughter..."	"我親愛的孫女……"	"558292/e 321777/t 600 620/H"
"I'm glad you summoned me. I... was perhaps a little too harsh with you last time."	"我很高興你召喚了我。也許上次我對你太嚴厲了。"	"558292/e 321777/t 600 620/H"
"Forgive me. You've been working very hard, and I'm proud of it."	"請原諒我。你一直那麼努力，我真為你感到驕傲。"	"558292/e 321777/t 600 620/H"
"Let's see..."	"那麼……"	"558292/e 321777/t 600 620/H"
"Welcome home, @. I hope you had a nice day."	"歡迎回家，希望你今天過得愉快。"	"3917601/f Emily 3500/O Emily/n emilyFiber/A emilyFiber/t 2000 2400/p Emily"
"So... I finished that secret project I was working on."	"嗯……我已經把正在進行的秘密工程做完了。"	"3917601/f Emily 3500/O Emily/n emilyFiber/A emilyFiber/t 2000 2400/p Emily"
"It's a brand new hand-made outfit for you!"	"這是一套全新的，為你做的手造工具！"	"3917601/f Emily 3500/O Emily/n emilyFiber/A emilyFiber/t 2000 2400/p Emily"
