"*sigh*... I'm so sick of preparing these samples..."	"*嘆息*……我對於準備這些樣本很不在行……"	"7/f Maru 1000/p Maru"
"Agh! Oh no!... "	"啊！糟糕！"	"7/f Maru 1000/p Maru"
"The whole sample is ruined... Harvey's going to kill me..."	"整份樣本都被毀了……哈維會把我殺了……"	"7/f Maru 1000/p Maru"
"@, what should I do?"	"@我應該怎麼辦？"	"7/f Maru 1000/p Maru"
"Just scoop it off the floor. He won't know the difference."	"從地板上鏟起來就好。他不會發現的。"	"7/f Maru 1000/p Maru"
"Tell Harvey it was my fault."	"告訴哈維是我的錯。"	"7/f Maru 1000/p Maru"
"Tell Harvey it was an accident."	"告訴哈維，這純屬意外。"	"7/f Maru 1000/p Maru"
"What happened? I heard something break."	"發生了什麼事？我聽到東西打碎的聲音。"	"7/f Maru 1000/p Maru"
"I accidentally dropped one of the samples... I'm so sorry."	"我不小心摔碎了一份樣本……真是對不起。"	"7/f Maru 1000/p Maru"
"@ came in and slammed the door so loud I dropped this sample."	"@進來後猛地一關門，嚇得我打碎了一份樣本。"	"7/f Maru 1000/p Maru"
"You shouldn't blame others for your own problems, Maru."	"瑪魯，你不能把自己的問題推卸到別人身上。"	"7/f Maru 1000/p Maru"
"*sigh*... I'll have to call the patient back in to recollect this sample."	"*唉*……我只好讓病人再來採集一次樣本了。"	"7/f Maru 1000/p Maru"
"This'll probably put us in the red for another month..."	"這很可能會害得我們又虧損一個月……"	"7/f Maru 1000/p Maru"
"Thanks for telling me the truth, Maru."	"瑪魯，謝謝你告訴我事實真相。"	"toldTruth"
"Don't worry about the sample, we'll just get another one."	"不用擔心樣本的事情，我們會再採集一份。"	"toldTruth"
"Thanks for being patient with me, Doctor Harvey."	"謝謝你對我的包容，哈維醫生。"	"toldTruth"
"Of course... you've been a big help around here. I don't know what I'd do without you!"	"當然……你在這裡幫了我不少忙。沒有你，我都不知道該怎麼辦！"	"toldTruth"
"@? You look a little pale... are you feeling okay?"	"@？你的臉色有些蒼白……你還好嗎？"	"toldTruth"
"Ah, @! I was just about to write you a letter."	"@！我正要寫信給你呢。"	"57/f Harvey 1000/p Harvey"
"You see, my records indicate that you're due for your annual checkup!"	"我的紀錄顯示，你該進行年度體檢了！"	"57/f Harvey 1000/p Harvey"
"Now, now... There's no need to worry. It'll be quick and painless. Please follow me."	"現在就開始吧……用不著擔心。一下下就好，一點也不痛。請跟我來。"	"57/f Harvey 1000/p Harvey"
"Hmm... Okay. Hold still, please."	"嗯……好。請待著別動。"	"57/f Harvey 1000/p Harvey"
"Say 'ahhh..."	"說「啊啊啊……」"	"57/f Harvey 1000/p Harvey"
"Okay, you can stop."	"好，可以啦。"	"57/f Harvey 1000/p Harvey"
"I just need to check your vitals."	"我只要檢查一下你的重要器官。"	"57/f Harvey 1000/p Harvey"
"Hmm... Your pulse is high."	"嗯……你的心跳有點快。"	"57/f Harvey 1000/p Harvey"
"I'm a little nervous..."	"我有點緊張。"	"57/f Harvey 1000/p Harvey"
"I'm out of breath from working on the farm."	"我剛才在農場裡做事，現在還沒喘過來氣。"	"57/f Harvey 1000/p Harvey"
