"..."	"……"	"1039573/N 10/Hl addedParrotBoy"
"...Y...You... Bird friend?"	"……你……你……朋友鳥鳥？"	"1039573/N 10/Hl addedParrotBoy"
"...Seem good."	"……看起來不錯。"	"1039573/N 10/Hl addedParrotBoy"
"...She ask if you are bird friend."	"……她問你是不是朋友鳥鳥。"	"1039573/N 10/Hl addedParrotBoy"
"I told her... yes."	"我告訴她……是的。"	"1039573/N 10/Hl addedParrotBoy"
"How did you end up here?"	"你為什麼會在這裡？"	"1039573/N 10/Hl addedParrotBoy"
"Where are your parents?"	"你的父母呢？"	"1039573/N 10/Hl addedParrotBoy"
"...Big Storm... Waves... Lightning..."	"……暴風雨……海浪……閃電……"	"1039573/N 10/Hl addedParrotBoy"
"Mother... Father... swallowed by the sea..."	"媽媽……爸爸……被大海吞沒……"	"1039573/N 10/Hl addedParrotBoy"
"I... I washed up on shore..."	"我……被沖到海灘上……"	"1039573/N 10/Hl addedParrotBoy"
"...No, no, no... Th... That was just a dream... right?"	"……不、不、不……這……這只是個夢……對吧？"	"1039573/N 10/Hl addedParrotBoy"
"...No... I was born here, just like all the other bird friends. Can't you tell?"	"……不對……我就是在這裡出生的，就像其他所有的朋友鳥鳥一樣。你看不出來嗎？"	"1039573/N 10/Hl addedParrotBoy"
"If you're a bird, how can you speak?"	"你是鳥的話，你是怎麼說話的？"	"1039573/N 10/Hl addedParrotBoy"
"How old are you?"	"你幾歲？"	"1039573/N 10/Hl addedParrotBoy"
"*Awk*"	"（嘎嘎嘎）"	"1039573/N 10/Hl addedParrotBoy"
"If you're a bird"	"你是鳥的話"	"1039573/N 10/Hl addedParrotBoy"
"*Awk*"	"（嘎嘎嘎）"	"1039573/N 10/Hl addedParrotBoy"
"How can you speak?"	"你是怎麼說話的？"	"1039573/N 10/Hl addedParrotBoy"
"Haha! See? We speak! We speak!"	"哈哈！看到了嗎？我們能說話！我們能說話！"	"1039573/N 10/Hl addedParrotBoy"
"Old?"	"幾歲？"	"1039573/N 10/Hl addedParrotBoy"
"...We don't think like that."	"……我們不這樣說。"	"1039573/N 10/Hl addedParrotBoy"
"We say... 'How many golden walnuts have you eaten?'"	"我們會問……「你吃過多少金核桃？」"	"1039573/N 10/Hl addedParrotBoy"
"...I've eaten 3,729 golden walnuts."	"……我吃了 3729 個金核桃了。"	"1039573/N 10/Hl addedParrotBoy"
"...But you don't become an elder until you've eaten 10,000."	"……你得吃過 10000 個才能變成長老。"	"1039573/N 10/Hl addedParrotBoy"
"I'll get there someday!"	"有一天我會長大的！"	"1039573/N 10/Hl addedParrotBoy"
"Hey."	"嘿。"	"1039573/N 10/Hl addedParrotBoy"
"...I remembered something."	"……我想起來了。"	"1039573/N 10/Hl addedParrotBoy"
"My name..."	"我的名字……"	"1039573/N 10/Hl addedParrotBoy"
"...It's Leo."	"……叫里歐。"	"1039573/N 10/Hl addedParrotBoy"
