"Oh, hi @! Come in, come in."	"啊，你好，@！快進來，快進來。"	"50/f Leah 500/p Leah"
"I'm just working on this sculpture here."	"我正在加工這座雕像。"	"50/f Leah 500/p Leah"
"Come here. Watch this."	"過來看看吧。"	"50/f Leah 500/p Leah"
"See that? I'm revealing the essence of the wood."	"看到了嗎？我正在揭示木頭的本質。"	"50/f Leah 500/p Leah"
"Once you get past the outer layers, the true nature starts to show..."	"等剝去了外層之後，真實的本性才開始展現……"	"50/f Leah 500/p Leah"
"It's the same with people."	"人也是這樣。"	"50/f Leah 500/p Leah"
"I actually prefer the look of raw, unadultered wood."	"我其實更喜歡未經雕琢的木頭。"	"50/f Leah 500/p Leah"
"(creepy) May I have a kiss?"	"（唐突）你能親我一下嗎？"	"50/f Leah 500/p Leah"
"I first visited this valley as a little girl, while on vacation with my parents."	"我第一次和父母來這座山谷度假的時候，還是個小女孩。"	"50/f Leah 500/p Leah"
"I knew I had to come back some day... This place has great artistic potential!"	"我知道，總有一天我會回來……這個地方充滿了藝術氣息！"	"50/f Leah 500/p Leah"
"Although, I have to admit... It's not easy to pay the bills as an artist."	"但我得承認……作為藝術家，想要養活自己可不容易。"	"50/f Leah 500/p Leah"
"Why don't you have an art show in town?"	"你為什麼不在鎮上舉辦一個藝術展呢？"	"50/f Leah 500/p Leah"
"Why don't you sell your art on the internet?"	"你為什麼不把你的作品放在網路上出售啊？"	"50/f Leah 500/p Leah"
"Hmmm... interesting. I guess that could set the wheels in motion to making Pelican Town a true art destination..."	"嗯……有意思。我想這可能會幫助鵜鶘鎮變成真正的藝術之鄉……"	"50/f Leah 500/p Leah"
"But what if no one likes my sculptures? I'd be crushed."	"但如果沒人喜歡我的雕像呢？那我就完了。"	"50/f Leah 500/p Leah"
"...I'll have to think about it."	"這我得考慮一下。"	"50/f Leah 500/p Leah"
"Well, thanks for stopping by, @."	"好吧，感謝你的拜訪，@。"	"50/f Leah 500/p Leah"
"An art show for the whole village? That's a bold idea, @."	"為全村舉辦一次藝術展？這真是個大膽的主意，@。"	"50/f Leah 500/p Leah"
"Hmm... I guess that's an idea... But I'd need a computer first."	"嗯……我想這是個辦法……但我得先搞臺電腦。"	"internet"
"And again... that's expensive."	"但……那可不便宜啊。"	"internet"
"Well, it was nice of you to visit..."	"好吧，感謝你的拜訪……"	"internet"
"..."	"……"	"creepySexualPass"
"Kel...How many times do I have to tell you? I don't want to come back to the city!"	"凱爾……還要我跟你說多少次？我不想回城裡去！"	"51/f Leah 1000/p Leah"
"Stop calling me... I don't want to hear from you anymore! *click*"	"別再給我打電話了……我再也不想聽到你的聲音了！*掛斷*"	"51/f Leah 1000/p Leah"
"@..."	"@……"	"51/f Leah 1000/p Leah"
"So I guess you heard me yelling on the phone?"	"我猜你聽到我對著電話大吼大叫了？"	"51/f Leah 1000/p Leah"
"That was my ex..."	"那是我的前……"	"51/f Leah 1000/p Leah"
"I guess I'd better tell you a little about it..."	"我最好還是稍微和你解釋一下吧……"	"51/f Leah 1000/p Leah"
"We had an apartment together, back in the city."	"我們一起在城裡租了一間公寓。"	"51/f Leah 1000/p Leah"
"I did odd jobs during the day and spent all night working on art projects... we barely made enough to scrape by."	"我白天要打零工，晚上則要通宵製作藝術品……我們的收入只夠勉強度日。"	"51/f Leah 1000/p Leah"
"He was always nagging me to go back to school and study business or medicine... something with a lot of money in it."	"他一直在嘮叨我，要我回學校，去學習商業或是醫學……那都是賺錢的職業。"	"51/f Leah 1000/p Leah"
"She was always nagging me to go back to school and study business or medicine... something with a lot of money in it."	"她一直在嘮叨我，要我回學校，去學習商業或是醫學……那都是賺錢的職業。"	"51/f Leah 1000/p Leah"
"I guess the idea was to save up for a normal life. You know... a house in the suburbs, kids, PTA meetings... that sort of thing."	"我覺得那是一般人的活法。你知道的……就是在郊區買房、生孩子、開家長會……之類的事情。"	"51/f Leah 1000/p Leah"
"I wasn't ready for that kind of life, @... I had to leave. So I came here to pursue my dream of being an artist."	"我還沒有過那種生活的打算，@……我非離開不可。所以我才會來這裡，追尋成為藝術家的夢想。"	"51/f Leah 1000/p Leah"
"Was that selfish of me, @?"	"我是不是太自私了，@？"	"51/f Leah 1000/p Leah"
"No, it had to be done."	"不，你只是做了必須做的事情。"	"51/f Leah 1000/p Leah"
"No, and your ex sounds like an idiot."	"不，是你的前任太蠢了。"	"51/f Leah 1000/p Leah"
"No, but you would've been better off staying in the city."	"不，但你其實應該待在城裡。"	"51/f Leah 1000/p Leah"
"Yeah, a little."	"對，有那麼一點。"	"51/f Leah 1000/p Leah"
"Yeah, but it's natural to care about yourself first."	"對，但人不為己天誅地滅。"	"51/f Leah 1000/p Leah"
"Well, thanks for listening to me. It's good to have a friend."	"好吧，感謝你能聽我說完。有朋友的感覺真好。"	"51/f Leah 1000/p Leah"
"Hey, thanks for listening to me so patiently earlier."	"嘿，謝謝你之前那麼耐心地傾聽我的事。"	"51/f Leah 1000/p Leah"
"Hey! Come check this out."	"嘿！看這個。"	"584059/f Leah 2000/p Leah/n LeahInternet"
"I bought a laptop and set up an online art shop... like you suggested."	"我買了一臺筆記型電腦，在網路上開了個藝術品商店……就像你建議的那樣。"	"584059/f Leah 2000/p Leah/n LeahInternet"
"Did you hear that? That means someone just bought something from the store!"	"你聽到了嗎？這代表剛剛有人買了件東西！"	"584059/f Leah 2000/p Leah/n LeahInternet"
"Hmm... There's this 'Mr. K' that keeps buying all my sculptures."	"嗯……嗯……就是這個「K先生」一直在買我的雕像。"	"584059/f Leah 2000/p Leah/n LeahInternet"
"I guess it must be some rich guy who loves my stuff."	"我想他一定是個有錢人，剛好又很喜歡我的作品。"	"584059/f Leah 2000/p Leah/n LeahInternet"
"Wow! I'm not going to have to worry about my electricity bill for a while after that sale..."	"哇！自從那促銷之後，現在我暫時不用擔心我的電費單了……"	"584059/f Leah 2000/p Leah/n LeahInternet"
"Anyway... Thanks for giving me this idea, @. So far, it's been really successful! This is really going to give me the funding I need to keep working on art full-time."	"話說……感謝你給我出的這個主意，@。目前來看，這確實是個大成功！這樣我就有錢去進行全職的藝術創作了。"	"584059/f Leah 2000/p Leah/n LeahInternet"
"Now, sorry to ignore you... but I really need to tweak these CSS sheets..."	"對不起，我要失陪一下……我得先整理這些 CSS 表單……"	"584059/f Leah 2000/p Leah/n LeahInternet"
"Sorry... I shouldn't get angry."	"……抱歉，我不該發火。"	"angry"
"Maybe you're right... my life would've been a lot easier if I had stayed."	"或許你是對的……如果我留在那裡，生活應該容易得多。"	"angry"
"Maybe it's better to be practical and realistic... for all I know my art career will never pan out and I'll live my final years in squalor."	"也許還是現實一點的好……在我看來，我的藝術生涯永遠不會成功，最後我只能在悲慘的境遇中結束自己的一生。"	"angry"
"Well, thanks for listening to me. It's good to have a friend."	"好吧，感謝你能聽我說完。有朋友的感覺真好。"	"angry"
"So I've been saving up money to buy a computer... You know, so I can try and sell my art online like you suggested."	"我一直在存錢買電腦……然後我就能按照你的建議，在網路上出售我的作品。"	"internet2"
"It's good to have a friend looking out for you!"	"有朋友關心，真是太好了！"	"internet2"
"Anyway... I've been thinking a little more about that art show idea you had."	"話說……我一直在考慮你說的那個開藝術展的事情。"	"artShowSuggest"
"I'm working on some new sculptures to display at the show... I'm nervous, but the thought of getting my work out there is pretty exciting."	"我製作了幾尊新雕像，想在藝術展上展出……我很緊張，但想到能展示自己的作品也好興奮。"	"artShowSuggest"
"I'm just glad you're on board with making Stardew Valley a premier art destination, @!"	"很高興你願意和我一起從星露谷開始，@！"	"artShowSuggest"
