"There you are... just in time!"	"你來得正好！"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Look, here it comes!"	"瞧，它來了！"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Marcello's Balloon Rentals at your service!"	"馬切羅出租熱氣球很高興為您服務！"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Marcello: It's all yours for two hours."	"馬切羅：您可使用兩小時。"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Marcello: Now... I was told there's a saloon somewhere around here?"	"馬切羅：那……我聽說這附近有間酒吧？"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"I saw an ad in the paper for these balloon rides and I knew I had to surprise you with one."	"我在報紙上看到搭乘熱氣球的廣告，我就知道可以給你一個驚喜。"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"This looks fun! Let's ride!"	"好有趣的樣子啊！我們坐坐吧！"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"...But aren't you afraid of heights?"	"但你不是怕高嗎？"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Okay... you first."	"好吧……你先請。"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"We... We're up so high... *gulp*"	"好……好高啊……（吞口水）"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"I wanted to impress you with this... but look at me. I'm a trembling coward."	"我本想用這個來打動你……但被你看到我嚇成這個樣子。我真是個膽小鬼。"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Well, you've got more than enough courage to make up for me, @... that's... that's part of why I like you."	"嗯，你的勇氣十足，這正能彌補我的不足，@……那……那就是我喜歡你的原因之一。"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Okay, I'm going to open my eyes and look down... don't let go of my hand."	"好的，我正準備睜開眼睛並往下看……不要放開我的手。"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"I... I think I can do it now."	"我……現在應該可以了。"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Hey, this is incredible! I think I can see Mayor Lewis standing in the town square!"	"嘿，這真是太棒了！搞不好我看得到路易斯鎮長站在廣場上！"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Oh dear... our time's almost up."	"天啊……時間快到了。"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Um... @? We've known each other for a while now and... I... er..."	"呃……@？我們已經認識一段時間了……我……呃……"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"..."	"……"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"Whoops... Our time was up half an hour ago. We'd better touch down."	"噢不……我們只剩下半小時了。我們最好趕緊落地。"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"I haven't had such a wonderful day for as long as I can remember."	"我好久沒玩得這麼開心了。"	"528052/f Harvey 2500/t 900 1700/n harveyBalloon"
"I am... yeah."	"是……沒錯。"	"afraid"
"But I'm determined to not let that stop me from doing what I want... and experiencing this with you."	"但我已經下定決心，不能讓它阻礙我的夢想……還有陪在你身邊的機會。"	"afraid"
"I'll try not to get scared."	"我要試著克服恐懼。"	"afraid"
"We... We're up so high... *gulp*"	"好……好高啊……（吞口水）"	"afraid"
"I wanted to impress you with this... but look at me. I'm a trembling coward."	"我本想用這個來打動你……但被你看到我嚇成這個樣子。我真是個膽小鬼。"	"afraid"
"Well, you've got more than enough courage to make up for me, @... that's... that's part of why I like you."	"嗯，你的勇氣十足，這正能彌補我的不足，@……那……那就是我喜歡你的原因之一。"	"afraid"
"Okay, I'm going to open my eyes and look down... don't let go of my hand."	"好的，我正準備睜開眼睛並往下看……不要放開我的手。"	"afraid"
"I... I think I can do it now."	"我……現在應該可以了。"	"afraid"
"Hey, this is incredible! I think I can see Mayor Lewis standing in the town square!"	"嘿，這真是太棒了！搞不好我看得到路易斯鎮長站在廣場上！"	"afraid"
"Oh dear... our time's almost up."	"天啊……時間快到了。"	"afraid"
"Um... @? We've known each other for a while now and... I... er..."	"呃……@？我們已經認識一段時間了……我……呃……"	"afraid"
"..."	"……"	"afraid"
"Whoops... Our time was up half an hour ago. We'd better touch down."	"噢不……我們只剩下半小時了。我們最好趕緊落地。"	"afraid"
"I haven't had such a wonderful day for as long as I can remember."	"我好久沒玩得這麼開心了。"	"afraid"
"Ah... @. I've been waiting for you."	"呃……@。我在等你。"	"529952/C"
"Have I ever told you I used to be married?"	"我有告訴過你我過去曾結過婚嗎？"	"529952/C"
"Strange, I know... for a man like me. But it's true."	"作為一個像我這樣的男人，我知道這很奇怪……但這是事實。"	"529952/C"
"My wife and I were together for many years, until... until I made a mistake that drove her away."	"我和我前妻一起生活了很多年，直……直到我犯了一個錯誤導致她離開了。"	"529952/C"
"Her anger and envy were so intense that she turned green and began flying around the countryside, cursing everything in her path..."	"她的憤怒和嫉妒是如此強烈，以至於她全身變成綠色，開始在鄉村周圍飛行，詛咒著她在路上遭遇的一切……"	"529952/C"
"When I found out, I sealed this passage to her home... fearing that an innocent villager might fall prey to her dark magic."	"當我發現時，我把通往她家的道路封印了……我擔心會有無辜的村民成為她黑魔法的犧牲品。"	"529952/C"
"But now, it must be unsealed... for when we separated, she took my magic ink!"	"但現在，必須把封印解開……因為我們分離的時候，她拿走了我的魔法藥水！"	"529952/C"
"I need that magic ink back!"	"我需要拿回那藥水！"	"529952/C"
"I would do this myself, but I... I can't see her again. That's why I need your help."	"我本來是想透過自己來完成的，但我……我再也不能看見她。所以我才需要你的幫忙。"	"529952/C"
"In order to unseal this passage, you'll need a dark talisman. Talk to Krobus, in the sewer... he should know where to find one."	"為了解封這條通道，你需要暗黑護符。與下水道的柯洛布斯交談，他應該知道在哪能得到。"	"529952/C"
"I'm counting on you... if you can retrieve my magic ink I promise I'll make it worth your while... Now go!"	"我全指望你了……如果你能取回我的魔法藥水，我保證不會虧待你的。……現在趕緊出發吧！"	"529952/C"
