"Hi. I'll take your order in a few moments."	"嗨，我馬上就來給你點單。"	"40/f Elliott 1000/p Gus/t 1500 2200"
"Hello, @! What a pleasant surprise!"	"你好，@！真是巧啊！"	"40/f Elliott 1000/p Gus/t 1500 2200"
"I was just stopping in to relax after an eight hour writing session."	"我剛寫了八個小時的書，想來這裡休息一下。"	"40/f Elliott 1000/p Gus/t 1500 2200"
"Bartender! Two of your finest ales, please!"	"酒保！請來兩杯最好的艾爾啤酒！"	"40/f Elliott 1000/p Gus/t 1500 2200"
"Bartender! Fetch me your finest ale. And bring some wine for the lady!"	"酒保！我要你們最好的艾爾啤酒。再給這位小姐來杯葡萄酒！"	"40/f Elliott 1000/p Gus/t 1500 2200"
"..."	"……"	"40/f Elliott 1000/p Gus/t 1500 2200"
"There you go, sir."	"給你，先生。"	"40/f Elliott 1000/p Gus/t 1500 2200"
"Wait. I propose a toast! To..."	"等等。讓我們舉杯慶祝一下！為了……"	"40/f Elliott 1000/p Gus/t 1500 2200"
"To Pelican Town!"	"鵜鶘鎮！"	"40/f Elliott 1000/p Gus/t 1500 2200"
"To our friendship!"	"我們的友誼！"	"40/f Elliott 1000/p Gus/t 1500 2200"
"To my good health!"	"我們的健康！"	"40/f Elliott 1000/p Gus/t 1500 2200"
"To your doom!"	"你的命運！"	"40/f Elliott 1000/p Gus/t 1500 2200"
"*Hic*... Strong stuff..."	"*打嗝*……勁好大啊……"	"40/f Elliott 1000/p Gus/t 1500 2200"
"Oh, Hello there, buddy."	"哦，哥們，你好。"	"96/f Gus 1000/f Pam 500/p Gus"
"Hi, @."	"你好，@。"	"96/f Gus 1000/f Pam 500/p Gus"
"*sigh*...I'm just looking over last month's earnings... and It's not looking very good, @."	"*唉*……正在查看上個月的營收……情況不是很好，@。"	"96/f Gus 1000/f Pam 500/p Gus"
"The worst thing... and I hate to say this because she's my friend... is Pam! She hasn't paid off her tab in weeks!"	"最麻煩的是……我不想說，因為她是我的朋友……但，都怪潘姆！她已經好幾個星期沒付帳了！"	"96/f Gus 1000/f Pam 500/p Gus"
"...But I can't ask her to do it. I know she'll get defensive, and I don't want to hurt her feelings."	"……我知道她會辯解，但我不想傷害她的自尊心。"	"96/f Gus 1000/f Pam 500/p Gus"
"@, you gotta help me!"	"@，你得幫幫我！"	"96/f Gus 1000/f Pam 500/p Gus"
"Hiya!"	"嘿！"	"96/f Gus 1000/f Pam 500/p Gus"
"Gus... I'm awful thirsty, if you catch my drift."	"格斯……我快渴死了，給我拿點喝的。"	"96/f Gus 1000/f Pam 500/p Gus"
"Er... Well, okay Pam."	"呃……好吧，潘姆。"	"96/f Gus 1000/f Pam 500/p Gus"
"@, what's going on here?"	"@，你有什麼事嗎？"	"96/f Gus 1000/f Pam 500/p Gus"
"You need to pay your tab right now!"	"你現在就得把賒的帳給結了！"	"96/f Gus 1000/f Pam 500/p Gus"
"The saloon isn't doing well, financially"	"酒吧在經濟上有些困難"	"96/f Gus 1000/f Pam 500/p Gus"
"...."	"……"	"96/f Gus 1000/f Pam 500/p Gus"
"*sigh* ...Well, I guess I'd better pay off that tab, then."	"*唉*……好吧，我覺得我最好還是把帳給結了。"	"96/f Gus 1000/f Pam 500/p Gus"
"Thanks, Pam!"	"謝謝你，潘姆！"	"96/f Gus 1000/f Pam 500/p Gus"
"And thank you, @."	"還要謝謝你，@。"	"96/f Gus 1000/f Pam 500/p Gus"
"Now, let's get you that drink, Pam."	"潘姆，我現在就給你拿喝的。"	"96/f Gus 1000/f Pam 500/p Gus"
"Thanks for your help, @. This cash is going to be a big help to the saloon."	"謝謝你的幫助，@。有了這些錢，酒吧就得救了。"	"96/f Gus 1000/f Pam 500/p Gus"
"Hello, @... care to join me?"	"你好，@……要不要和我坐一起？"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"Let me just go ahead and tell you what's on my mind."	"讓我跟你講講，我在想些什麼吧。"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"I have terrible luck with women, @...*sigh*"	"我沒有什麼女人緣，@……*唉*"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"I'm a nice guy if you get to know me, I swear!"	"但和我打過交道的人，都知道我是個好人。真的！"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"The girls all seem to like you, @..."	"女孩子似乎都很喜歡你，@……"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"You're a girl, @..."	"你是個女孩，@……"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"Got any tips?"	"你有什麼秘訣嗎？"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"What advice can you give me?"	"你能給我一些建議嗎？"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"Impress women with your strength and charm"	"靠你的能力和魅力打動女性"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"Act crazy, to keep people guessing"	"做些瘋狂的事情，讓別人猜不透你"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"Just act natural... be yourself"	"表現得正常一點……做你自己就好"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"Treat women the same as men"	"把女人當男人一樣對待"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"Hi Clint, what can I get for you tonight?"	"嗨，克林特，今晚想來點什麼？"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"Yes!"	"正確！"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"Er.. I mean, I'll have the Big n' Cheesy. With extra sauce, please."	"呃……我是說，請給我來個大份起司，再多澆一份醬汁。"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
"..."	"……"	"97/f Clint 750/t 1900 2300/d Tue Wed Thu Fri Sat Sun"
