"Oh, hello there!"	"啊，你好！"	"6/f Maru 500/p Maru"
"My Dad and I are just testing some soil samples."	"我和我爸正對土壤樣本進行測試呢。"	"6/f Maru 500/p Maru"
"Don't be shy! We could use a hand, actually."	"不要害羞嘛！我們正缺人手呢。"	"6/f Maru 500/p Maru"
"Could you watch this beaker for me? I'm gonna grab the last batch of samples."	"能幫我看一下這個燒杯嗎？我去取最後一批樣本。"	"6/f Maru 500/p Maru"
"I'll be right back."	"我去去就回。"	"6/f Maru 500/p Maru"
"Thanks for helping out, @."	"多謝你幫忙，@。"	"6/f Maru 500/p Maru"
"Maru's a good kid. She's my special little girl..."	"瑪魯是個乖孩子。她可是我的小乖乖……"	"6/f Maru 500/p Maru"
"I wouldn't want anything getting in the way of her bright future, know what I mean?"	"我可不想有什麼東西妨礙她光明的未來，你懂我的意思吧？"	"6/f Maru 500/p Maru"
"Just some food for thought... *chuckle*"	"平時多想想這事吧……*輕笑*"	"6/f Maru 500/p Maru"
"Hey, sorry about that. I hope you found something to talk about while I was gone."	"啊，真是抱歉了。在我不在的時候你們有話題聊吧？"	"6/f Maru 500/p Maru"
"...I was just telling @ about the soil samples we're testing."	"……我剛剛在和@說我們測試的土壤樣本的事。"	"6/f Maru 500/p Maru"
"Right, @?"	"我說的沒錯吧，@？"	"6/f Maru 500/p Maru"
"(Say nothing)"	"（什麼也不說）"	"6/f Maru 500/p Maru"
"Actually, your Dad was being weird."	"其實，你爸剛剛可神秘了。"	"6/f Maru 500/p Maru"
"Okay! Here, @... let me show you how to use the equipment."	"好的！那麼，@……我來告訴你如何使用儀器。"	"6/f Maru 500/p Maru"
"Huh? What did you say to him, Dad?"	"蛤？爸，你跟他說什麼了？"	"DadWeird"
"Huh? What did you say to her, Dad?"	"蛤？爸，你跟她說什麼了？"	"DadWeird"
"Okay, okay... we were talking about you, sweetie."	"好啦，好啦……我們在說你啊，小寶貝。"	"DadWeird"
"I wanted to say a few things to @ about you... but I didn't want to embarrass you. I shouldn't have lied about it."	"我想和@說說你的事……但是又怕你難為情……我不該對你說謊的。"	"DadWeird"
"That's okay, Dad. I understand."	"沒事的，爸爸。我們能理解的。"	"DadWeird"
"We should get back to work before these samples crystallize."	"趁樣本還沒結晶我們最好趕緊回去工作。"	"DadWeird"
"@, hi! Come in."	"@，嗨！請進。"	"9/f Maru 2000/p Maru"
"I've been working on a new project... something big."	"我在做一個新計畫……是很了不起的東西哦。"	"9/f Maru 2000/p Maru"
"This is just one component... let me show you a little demonstration."	"這只是其中一種成分……我給你示範一下。"	"9/f Maru 2000/p Maru"
"Just put your hand here..."	"把你的手放在這裡……"	"9/f Maru 2000/p Maru"
"And now I'm going to flip this switch..."	"然後打開開關……"	"9/f Maru 2000/p Maru"
"Oh my god, are you alright?!"	"哎呀，你沒事吧？"	"9/f Maru 2000/p Maru"
"Here, let me apply this burn cream."	"來，我幫你塗燙傷藥膏。"	"9/f Maru 2000/p Maru"
"I'm so sorry."	"真是對不起。"	"9/f Maru 2000/p Maru"
"It's okay, it doesn't even hurt."	"沒關係，根本不痛的。"	"9/f Maru 2000/p Maru"
"You'd better be. This hurts like crazy!"	"抱歉就對了。簡直痛死人了！"	"9/f Maru 2000/p Maru"
"That kind of ruined the moment, huh? *sigh*"	"氣氛一下就毀了，是吧？*唉*"	"9/f Maru 2000/p Maru"
"Demetrius, I didn't tell you to get tomatoes. I said to get fruit."	"迪馬崔斯，我跟你說的是拿水果來，不是拿番茄來。"	"25/f Demetrius 1500/p Demetrius/p Robin"
"I don't understand. Tomatoes are fruits!"	"真是搞不懂，番茄就是水果啊！"	"25/f Demetrius 1500/p Demetrius/p Robin"
"When a normal person says they want fruit, they NEVER mean tomatoes. It doesn't matter what the scientific classification is."	"只要是正常人，說想要水果的時候，要的都絕對不會是番茄的。這與番茄在科學上的分類無關。"	"25/f Demetrius 1500/p Demetrius/p Robin"
"@! I'm glad you're here. You'll be able to put this argument to rest."	"@！你來的正好。你幫我們解決這個爭端最合適不過了。"	"25/f Demetrius 1500/p Demetrius/p Robin"
"How would you classify a tomato?"	"你覺得番茄算什麼？"	"25/f Demetrius 1500/p Demetrius/p Robin"
"Vegetable"	"蔬菜"	"25/f Demetrius 1500/p Demetrius/p Robin"
"Fruit"	"水果"	"25/f Demetrius 1500/p Demetrius/p Robin"
"I just want you to understand my point of view."	"我只想告訴你我的觀點。"	"25/f Demetrius 1500/p Demetrius/p Robin"
"It's hard for me to know exactly what assumptions I should make when you tell me something."	"每次你跟我說些什麼的時候，我都感覺很難做出推斷呢。"	"25/f Demetrius 1500/p Demetrius/p Robin"
"But I'll try to get better at it."	"但我會盡力的。"	"25/f Demetrius 1500/p Demetrius/p Robin"
"Thanks for your help, @."	"謝謝你的幫助，@。"	"25/f Demetrius 1500/p Demetrius/p Robin"
"Hi @. I was just cleaning some dust off my saw."	"嗨，@。我正給鋸子清灰呢。"	"33/f Robin 1500/p Robin"
"Have you ever made anything out of wood, @?"	"你有沒有用木頭做過東西呢，@？"	"33/f Robin 1500/p Robin"
"Yes"	"有"	"33/f Robin 1500/p Robin"
"No"	"沒有"	"33/f Robin 1500/p Robin"
