"This one's for all you greenhorns out there: chop wood and search for wild forage to earn some cash while waiting on your first harvest!"	"給所有新人一個提示：在等待第一次收成的同時，你可以去砍柴和收集野生牧草以賺取些額外收入！"	"1"
"This one's for you folks living in Stardew Valley. Check for spring onion southwest of town, where the river meets the ocean. You can sometimes find a whole bunch growing right out of the dirt."	"給星露谷的居民一個提示。去查看一下生長在小鎮西南部的野蔥，小鎮的西南方是河川與大海交會的地方。偶爾能找到一簇簇的野蔥從泥土中冒出來。"	"4"
"Let's talk fences. Fences are useful for keeping weeds at bay and protecting your crops. They also let farmers contain their livestock. Fences break down after a while, but stone, iron, and hardwood fences last a lot longer than basic wood!"	"接下來就說說柵欄吧。柵欄有助於抑制雜草的蔓延和保護你的莊稼。柵欄還可以讓農夫圈養他們的牲口。一般的木柵欄很快就會破損，但是石頭、鐵以及硬木做的柵欄可以用很久！"	"8"
"Woes from crows? Sounds like you need a scarecrow! Placing a scarecrow on your farm deters crows from a pretty good distance. Make sure you protect your valuable crops!"	"烏鴉會來搗亂？看來你需要一個稻草人！在你的農場放置一個稻草人，可以把烏鴉嚇退到百里之外。一定要保護好珍貴的莊稼！"	"11"
"One more thing... need a bigger backpack to hold all your stuff? Check your local general store."	"還有一件事……你如果需要更大空間的背包來裝道具的話，可以到當地的雜貨店去看看。"	"11"
"It's salmonberry season! All across the countryside, bushes are teeming with juicy little berries, and they're free for the taking! Harvesting them is a great way to earn some extra cash."	"鮭莓成熟的季節到了！整個鄉村的草叢中都布滿了小巧而多汁的鮭莓，你可以隨意採摘！把它們採摘下來出售，就可以賺到一筆額外的收入。"	"15"
"Ah, refreshing rain... a Farmer's best friend! When it rains, you don't have to water your crops. Use this to your advantage!"	"啊，清爽的雨……這是農夫的最好朋友！下雨時，你就不用親自去澆灌莊稼了。要充分利用這種天賜良機！"	"18"
"Get your hands on a fishin' pole and sell your catch! Fishing is a great way to make a little extra cash when you have some down time. The distance your bobber lands from any dry land determines what kinds of fish you'll hook... as well as the location, season, time of day, and weather!"	"甩出你的釣竿去釣條大肥魚，釣到的魚可以拿去賣！較閒時釣魚可以賺取額外收入。魚鉤拋離陸地的距離決定了你能釣到什麼樣的魚……其他影響因素還有地點、季節、時間、以及天氣！"	"22"
"Fruit trees. They take an entire season to grow, so plan ahead! If the area directly surrounding your new tree isn't clear, it will interfere with growth. Once your fruit tree is mature, it'll produce delicious fruit for you every day while in season. Better start savin' up!"	"果樹。它們需要一個季節的時間來生長，所以，要提前種下！如果你新種下的果樹周圍沒除草乾淨，果樹的生長就會受到影響。當你的果樹長成之後，只要是在成熟的季節，它就會每天為你結出可口的果子。你該開始謀劃了！"	"25"
"Summer's here, along with a whole slew of new crops to plant! Take hops, for example. The vines take a while to grow, but once they're mature they can be harvested every day. Good luck!"	"夏天來了，可以種植各式各樣新的農作物了！就拿啤酒花來說吧。它的藤蔓成長起來需要一段時間，一旦長成，就每天都會結出豐碩的果實。所以祝你好運吧！"	"29"
"Here's a rundown of the fish you can only find in summer: Dorado, found in forest rivers during the day. Rainbow Trout, found in forest rivers and in the mountains during the day. Pufferfish, found in the ocean in the early afternoon. And Octopus, found in the ocean during the morning. Catch them while you can!"	"下面這些魚，你只有在夏天才能找到：黃金河虎，可以在白天的森林河流中找到。虹鱒，可以在白天的森林河流和山澗找到。河豚，可以下午時分的大海中找到。還有章魚，可以在早晨的大海中找到。可以的話，就抓住牠們！"	"32"
"Let's talk corn. It's an unusual crop because it lasts for two seasons! That's right, while most crops die when the season changes, corn lives on. You can grow it in both summer and fall. Now, get out there and plant some corn!"	"我們來說說玉米吧。這是一種非比尋常的農作物，因為它可以生長兩季。沒錯，季節變遷的時候，很多農作物都會枯萎，但是玉米卻能夠繼續生長。你可以在夏季和秋季種植玉米。那就快去行動起來，去種一些玉米吧！"	"36"
"Starting tomorrow, an unusual amount of shells and corals are expected to wash up on beaches all around the world. I'm no scientist, but I've heard it's something to do with crab mating season. At any rate, you could make some good coin combing your local beach."	"從明天開始，大量的貝殼和珊瑚會被沖到全世界的海灘上。我不是一位科學家，但是我聽說這和螃蟹的交配季節有關係。不管怎麼樣，你可以利用當地的海灘賺一大筆錢。"	"39"
"Got a spa in your town? Relax and hold still in the steaming hot water to replenish your energy. Ahh... feels good, don't it?"	"要在鎮上做一次 Spa 嗎？靜靜地躺在冒著熱氣的泉水中，放鬆自己，補充體力。啊……那畫面實在太美麗，對吧？"	"43"
"Summer's known for its lightning storms. If you know how to craft a lightning rod, you can harvest the electricity and create battery packs. These can be sold or used for crafting!"	"夏天肯定會出現閃電風暴。如果你知道如何製作避雷針，那麼你可以收集閃電來製作電池。這些電池可以出售或者用於加工其他物品！"	"46"
"Most towns have a seasonal calendar in front of the general store. It's a good idea to check on that now and then to get a feel for what's going on in the community. Make sure to check for any job postings as well!"	"不少城鎮的雜貨店門口都張貼了季節曆。偶爾看一下季節曆也不錯，你可以瞭解到社區裡的一些時事。同時，一定要看一下有沒有招聘廣告！"	"50"
"Fall's almost here! It's arguably the most lucrative season for farmers, so make sure you're saving some money to buy new seeds. If you haven't upgraded your watering can by now, it's probably a good idea."	"秋天就快到了！毋庸置疑，秋天對於農夫來說，是一個豐收的季節，所以，一定要存下一些錢來買新的種子哦。如果你還沒更換過澆水壺，那現在是一個好時機。"	"53"
"Let's talk sunflowers. When you harvest them you'll not only get a nice flower, but you'll likely get some seeds as well. You can replant those seeds or sell them. I'm sold!"	"我們來說說向日葵吧。當你收割向日葵的時候，你不僅獲得漂亮的花朵，還可以獲得一些種子。你可以再次種下這些種子或拿去賣。想想就有點小激動！"	"57"
"If you're a farmer in a small town, it's likely you'll be invited to create a ""grange display"" at some point. Typically, a grange display consists of 9 items that best showcase your talents. Shoot for high quality, high value items and make sure to have a variety as well. Fish, minerals, artisan goods, fruit, and vegetables are all good to have!"	"如果你是一位小鎮上的農夫，那麼，你遲早會被邀請去舉辦一場所謂的「農莊展」。具體來說，你需要展示 9 件最能突出你的才能的物品。儘量挑選出高品質、高價值的物品，而且種類一定要豐富。魚、礦石、手工藝品、水果以及蔬菜都適合出展！"	"60"
"It's blackberry season! Bushes across the countryside are overflowing with ripe fruit. Just go outside and see for yourself!"	"黑莓成熟的季節到了！鄉村的所有草叢中都布滿了成熟的果實。你可以出去自己看看！"	"64"
"Fish Focus: Salmon. Salmon return to their spawning ground in fall to lay eggs. That means the rivers are chock-full of them! You can only find them in fall, so get out there and cast your pole."	"魚類聚焦：鮭魚。秋天，鮭魚會回到牠們的產卵地進行產卵。所以河流裡面會充斥著鮭魚！只有秋天才會有垂釣到鮭魚的機會，所以好好把握這個機遇吧。"	"67"
