"I gotta go visit Uncle Doctor today... Great."	"今天我得去看醫生大叔了……非常好。"	"fall_11.000"
"Maybe if all else fails, I'll become a submarine captain. That might be cool."	"如果其他路都走不通，我或許會成為一名潛艇艇長。這可能很酷。"	"winter_17.000"
"Sorry, honey. I'm trying to concentrate here... "	"寶貝，對不起。我在嘗試集中精神……"	"marriage_Fri.001"
"Vincent seems a little lonely without me around. I used to play with him a lot."	"沒有我在身邊，文森似乎有點落寞。我以前經常和他一起玩。"	"marriage_Mon.001"
"Don't tell my mom... but I really just came over for a free lunch."	"不要告訴我媽媽……但我真的只是過來吃免費午餐的。"	"marriage_Fri.000"
"I just got out of the doctor's office. Completely healthy and vigorous, just as I expected."	"我剛從醫生辦公室出來。完全健康且精力充沛，跟我預計的一樣。"	"fall_11.002"
"Mom seems okay. A little overworked, maybe."	"媽媽似乎還好。也許有點過度勞累。"	"marriage_Mon.000"
"I'm a healthy boy, doc. Can I go now? This is boring."	"我是個健康的小孩，醫生。我現在可以走了嗎？好無聊啊。"	"fall_11.001"
"Nothing like an ice cold Joja Cola on a sopping wet day, huh?"	"在這濕淋淋的日子裡，來一罐透心涼的 Joja 可樂再好不過了吧？"	"rain2.000"
"Just kidding. Hehehe."	"開玩笑的，嘿嘿嘿。"	"rain2.000"
