"Ooh!... I can read it on your face. You're going to love it here in Pelican Town."	"哦哦！……從你的表情我看得出來，你已經開始喜歡上鵜鶘鎮這裡了。"	"Introduction"
"If you're ever looking for something to do in the evening, stop by the saloon. That's where I work!"	"你要是晚上想找事情做的話可以去酒吧看看，我在那裡工作哦！"	"Introduction"
"Oh, I like this place! It's full of parrots!"	"啊，這個地方真不錯！好多鸚鵡！"	"Resort_Entering"
"Ah... my lungs feel perfect."	"啊……呼吸好舒暢。"	"Resort_Leaving"
"Can you feel it? The ocean has a profound healing energy."	"你能感覺到嗎？海洋有著深厚的治癒能量。"	"Resort_Shore"
"Are you having fun, @? You need to remember to take breaks now and then too!"	"@，你玩得開心嗎？累了的話，記得休息一下！"	"Resort_Chair"
"It's nice to be on this side of the bar for once!"	"能在酒吧當一次顧客真是奇妙！"	"Resort_Bar"
"If you open your heart to the sun, you can feel a loving energy inside of you."	"如果你向太陽敞開心扉，就能在體內感受到愛的能量。"	"Resort"
"Emily is lost in the music."	"艾米麗沉醉在音樂裡。"	"Resort_Dance"
"I'm very sorry... but I've already agreed to dance with someone else."	"很抱歉……我已經答應與別人共舞了。"	"danceRejection"
"@... You broke my heart... I just can't talk to you anymore."	"@……你讓我心都碎了……我不能再和你說話了。"	"divorced"
"Please, let me try to heal..."	"求求你，我要平靜一下……"	"divorced"
"..."	"……"	"dumped_Girls"
"B...But I thought we had a special bond... *sniff*"	"但……但是我以為我們之間有特殊的牽絆……（抽鼻子）"	"breakUp"
"Oh, that's beautiful... I have a friend who would love that! But she lives far from here..."	"啊，真漂亮……我有個朋友，她一定會喜歡的！但她住得離這裡很遠……"	"reject_866"
"@... I'm ready to give you a second chance. I still have faith that there's a good person inside of you."	"@……我準備給你第二次機會。我仍然相信你的內在是個好人。"	"secondChance_Girls"
"Have I told you Haley and I are sisters? Strange, isn't it?"	"我和海莉是姐妹，這事我跟你說過嗎？是不是很奇怪？"	"Mon"
"I have a secret hobby, but I won't say any more."	"我有一個不為人知的愛好，但我不會說。"	"Mon2"
"Maybe I'll show you some day."	"也許有一天我會告訴你。"	"Mon2"
"This world is full of spirits and magic... Some don't believe me, but I know it's true."	"這個世界充斥著幽靈與魔法……有些人不相信我，但我知道這是真的。"	"Mon4"
"I can see it in your eyes... you believe in the other world, like me."	"我從你眼睛裡可以看出來……你相信異世界的存在，就像我一樣。"	"Mon4"
"I wish Haley would get a job or at least contribute to cooking and cleaning."	"我希望海莉可以找份工作，或者至少可以做做飯，打掃打掃房間。"	"Mon6"
"I think she's hoping to marry someone rich."	"我覺得她想嫁給有錢人。"	"Mon6"
"I have to say, now that Haley's gone I've had a much easier time keeping things in order."	"不得不說，自從海莉走後，我的生活更井井有序了。"	"Mon6_inlaw_Haley"
"There's good people in this town who just can't seem to find happiness. It makes me sad."	"這個小鎮有些人雖然很善良，但還是找不到屬於自己的幸福。這讓我傷心。"	"Mon8"
"Working in the saloon, I hear first-hand about everyone's problems."	"由於我在酒吧工作，所以也能聽到各種酸甜苦辣，人間冷暖。"	"Mon8"
"I work part-time at Gus' saloon. It pays the bills."	"我在格斯的酒吧兼職。賺的錢能解決好多問題呢。"	"Tue"
"I'm just working at Gus' to make ends meet... but my real passion is tailoring."	"我是為了維生才在格斯的酒吧工作……我真正的夢想是當裁縫師。"	"Tue4"
"I made these clothes from scratch, see?"	"你看，這些衣服都是我親手縫的哦。"	"Tue4"
"Oh, hi... It's nice of you to visit me like this."	"噢，嗨……很高興你來看我。"	"Tue6"
"You know, @... I think the future looks bright for both of us."	"@……我認為我們的未來都很光明。"	"Tue8"
"I've heard rumors of rare and powerful magic rings, forged long ago by forgotten civilizations. I'm not sure if it's true or just a fairy tale."	"我聽說過一些關於稀世魔戒的傳言。據說這些戒指由失落的文明所打造。我也不知道是不是真的。"	"Wed"
"You catch fish? I just hope you treat the poor things humanely."	"你去捕魚啊？我只是希望你能善待那些可憐的小傢伙。"	"Wed4"
"Every critter deserves our respect, even the slimy ones."	"就算是這些黏黏的生物，我們也要心懷敬意。"	"Wed4"
"Have faith... every day you're taking one more step on the path of your destiny."	"相信自己……每一天，你都向目標邁進了一步。"	"Wed6"
"Hi, @."	"@，你好啊。"	"Wed8"
"I always knew we'd become close like this..."	"我就知道我們會成為親密無間的朋友……"	"Wed8"
"I hope you're farming in a sustainable way. The valley's ecosystem is fragile!"	"我希望你可以用永續的方法來耕作。星露谷的生態系統可是很脆弱的！"	"Thu"
"How do I know? I have a strong gut-feeling!"	"你問我怎麼知道的？我的直覺可是很強的！"	"Thu"
"Sometimes the flowers speak to me... each one has a different story to tell!"	"有時候，花會跟我說話……每一朵都在訴說著不同的故事！"	"Thu4"
"Ah, spring. The season of pastels. I actually prefer jewel tones, myself."	"春天啊，繽紛的季節。個人來講我很喜歡寶石色調的。"	"Fri"
"Oh, excuse me! I was mumbling about fashion again, wasn't I?"	"哦，抱歉！我是不是又開始嘀咕關於流行的東西了？"	"Fri"
"I like making my own clothes, but it's not easy to get cloth."	"我喜歡自己做衣服，可是要弄到布料不是很容易。"	"Sat"
"And it's such a long trip to the city."	"要走好遠才能走到城市啊。"	"Sat"
"Do you ever think about the texture of fabric, @? Each texture has a distinct personality... feel my dress... see?"	"@，你有沒有想過布料的材質？每種材質都有不同的個性……摸摸我的裙子……感覺到了嗎？"	"Sat6"
"Hi @!"	"嗨，@！"	"Sun"
"Do you raise sheep in your barn? You can turn their wool into beautiful bolts of cloth!"	"你有沒有養綿羊啊？牠們的毛可以織成非常漂亮的布料！"	"Sun"
"You'll need a loom, though. You can make them yourself if you know the crafting recipe."	"不過，你需要一臺織布機。如果你知道怎麼做的話可以自己做一個。"	"Sun"
"This house was left in our care by my parents. They've been traveling the world for the last two years."	"這兩年我爸媽跑去環遊世界了，把房子交給我們顧。"	"Sun4"
"We have no idea when they'll be back."	"我們也不知道他們什麼時候會回來。"	"Sun4"
