"Oh! You aren't exactly how I imagined... but that's okay! I'm Jodi."	"噢！你和我想像中的有點不一樣呢……但是沒關係！我是喬蒂。"	"Introduction"
"It's a quiet little town, so it's very exciting when someone new moves in! Having a farmer around could really change things."	"這是個寧靜的城鎮，所以能有人搬進來真的讓人高興呢！有個農場主確實可以改變很多事。"	"Introduction"
"What a treat!"	"多麼享受啊！"	"Resort_Entering"
"I think I'll make seafood tonight."	"我今晚大概會做海鮮。"	"Resort_Leaving"
"The view is breathtaking! Deep blue as far as the eye can see..."	"這景色真是攝人心魄！極目遠眺，都是一片深藍……"	"Resort"
"We all love it when Gus shows up."	"格斯在，我們就很開心。"	"Resort_Bar"
"What's this? It looks like one of Kent's buddies from the war. Maybe you should show it to him?"	"這是什麼？看起來像是肯特的一位戰友。也許你應該把這個拿去給他看看？"	"reject_864"
"Maintaining a household is difficult work... but somebody has to do it."	"維持一個家庭是很不容易的事……但是總得有人做吧。"	"Mon"
"Yes?"	"怎麼了？"	"Mon"
"It's nice to have a family... but I'd be lying if I said I never miss the freedom of being young..."	"有個家確實挺好的……但是如果我說我從不渴望年輕時的自由肯定是在撒謊……"	"Mon6"
"My husband Kent is a soldier, working overseas. That's why he's not here right now."	"我丈夫肯特是位士兵，在海外服役。因此他現在不在。"	"2_1"
"I know he'll come back safe once his tour is over!!"	"他服役完了後一定會安全歸來的！"	"2_1"
"Need something?"	"需要什麼嗎？"	"2_1"
"Exercise is important for staying healthy. I always make sure to set aside some time for it."	"想保持健康的話，鍛鍊必不可少。我總是抽時間鍛鍊。"	"Tue"
"As a parent, I don't have much time to devote to myself. So I try and make every minute count."	"作為家長，我沒什麼時間可以花在自己身上。因此我盡可能的抓緊每分每秒。"	"Tue"
"I wish I could spend more time outside, but there's so much work to do."	"我真希望能多到外面轉轉，但是有太多的工作要做了。"	"Wed4"
"I started wearing rubber gloves to keep my hands soft."	"我戴上橡膠手套保護手。"	"Wed4"
"The older you get, the more work you have to do to stay healthy."	"年紀越大，越得花更多精力保持健康。"	"Wed4"
"Ok, bye!"	"好，再見！"	"Wed4"
"What did you say? It's %time already? My goodness!"	"你說什麼？都已經%time 了？天啊！"	"Wed"
"I still have tons of work to do!"	"我還有成堆的工作沒做呢！"	"Wed"
"Where does all the time go? *sigh*"	"時間都去哪了？唉……"	"Thu6"
"I remember when Sam was a little baby wearing diapers. He was such a cute little kid."	"我還記得山姆小時候穿尿布的樣子呢。他那時多可愛。"	"Thu6"
"Don't tell him I said that."	"你可別告訴他我說過這話。"	"Thu6"
"You must really like talking to me, huh?"	"你一定很愛跟我聊天吧？"	"Thu6"
"So you're a farmer, huh? Interesting."	"你是位農夫，是吧？有意思。"	"Thu"
"I've never met a farmer before."	"我第一次認識農夫。"	"Thu"
