"Have you met everyone in town yet? That sounds exhausting."	"你有拜訪城鎮上的所有人嗎？聽起來很累的樣子。"	"Introduction"
"Wow, look at these structures!"	"哇，看看這些建築！"	"Resort"
"I can tell they were made by a master builder. I'm really impressed!"	"我能看出來，它們是大師級建築家的手筆。真是太了不起了！"	"Resort"
"That was fun!"	"真是有趣！"	"Resort_Leaving"
"Hey, look! I can see another island from here."	"嘿，瞧啊！我可以從這裡看見另一座島。"	"Resort_Shore"
"Hey @. You know, I was just thinking about how far the town has come since you first moved here."	"你好，@。我剛剛在想，從你最初搬到這裡起，整座鎮子發生了多少改變。"	"Resort_Chair"
"You should really be proud of all you've done!"	"你真的應該為自己的成就感到自豪！"	"Resort_Chair"
"This is so relaxing..."	"真是太舒服了……"	"Resort_Bar"
"Veggie salt? Sounds good, but I don't need it."	"植物鹽？聽起來不錯，但我不需要。"	"reject_865"
"Hmm... when I think of flowers, I think of Evelyn. Maybe show this to her?"	"嗯……關於花的話，我會想到伊芙琳。也許你可以把這個拿給她看？"	"reject_866"
"Our little plan worked out well, don't you think? Pam and Penny seem really happy."	"我們的小計畫很奏效，你不覺得嗎？潘姆和佩妮似乎真的很開心。"	"pamHouseUpgrade"
"Our little plan worked out well, don't you think? Pam and Penny seem really happy."	"我們的小計畫很奏效，你不覺得嗎？潘姆和佩妮似乎真的很開心。"	"pamHouseUpgradeAnonymous"
"Ooh... Two tickets for tonight's show, huh? Sounds good! I'll meet you there."	"哦……兩張今晚的電影票，對吧？好像不賴！電影院見囉。"	"MovieInvitation"
"Hey! I heard some weird noises last night, and woke up this morning to find the quarry bridge completely repaired!"	"嘿！昨晚我聽到一些奇怪的聲音，今天早上醒來發現石橋完全修好了！"	"cc_Bridge"
"It's a miracle of woodworking!"	"這真是木藝奇蹟！"	"cc_Bridge"
"I knew it from the moment you stepped off that bus, @... you were destined to be a town hero!"	"我從你走下那輛公共巴士那一刻起就知道了，@……你注定會成為這座小鎮的英雄！"	"cc_Complete"
"Hey! I heard that Lewis showed you around the Community Center... It'd be great if you could fix that place up. It used to be a really nice building!"	"嘿！我聽說路易斯帶你參觀了活動中心……如果你能修好那個地方，那就太好了。它曾經是一座很美的建築！"	"cc_Begin"
"Have I told you that I built our house from the ground up?"	"我有告訴過你我們的房子是我負責建造的嗎？"	"Mon"
"It's definitely been the highlight of my career so far."	"這是我入行以來最偉大的成就之一了。"	"Mon"
"Hey, if you need any materials or blueprints, my shop is the place you're looking for!"	"嘿，如果你需要什麼材料或者設計圖，請到我的店裡來！"	"Tue"
"Plus, your business supports the local economy."	"而且，你的光顧能夠為本地的經濟貢獻一份力量。"	"Tue"
"Hey there, @."	"嘿，你好！@。"	"Wed"
"I was just daydreaming about some new carpentry projects."	"我正在構思一些新的木工項目呢。"	"Wed"
"Are you doing OK at your place? How's the woodwork in your cottage holding up?"	"你的工作還好嗎？你的小屋還結實吧？"	"Wed"
"You're always welcome to visit us, even if you aren't shopping, you know."	"即使不是來買東西，我們也很歡迎你來聊聊天的。"	"Thu"
"It can get pretty lonely up here in the mountains."	"住在山上有時候是挺孤獨的。"	"Thu"
"You've met my son Sebastian, right? He lives downstairs."	"你遇見我的兒子賽巴斯汀了嗎？他就住在樓下。"	"Fri"
"He's a little shy, but I'm sure he'll warm up to you if you're nice to him."	"他為人害羞，但是你對他好他一定會把你當朋友的。"	"Fri"
"I miss my Sebby... he was always a little misunderstood, but I believed in him."	"我想念小巴……他以前總是被人誤解，但是我相信他。"	"Fri_inlaw_Sebastian"
"I found an ashtray in Sebastian's room, and it smelled really weird. Should I be worried about this?"	"我在賽巴斯汀的房間裡發現一個菸灰缸，散發著奇怪的味道。我該不該擔心？"	"Fri4"
"Sometimes I worry about Sebastian... he doesn't have many friends and doesn't really seem to care about his future very much..."	"有時候我很擔心賽巴斯汀……他沒有多少朋友，而且對自己的未來漠不關心……"	"Fri4"
"I would talk to him about it but he never opens up to me."	"我一直想跟他聊聊，但是他總是不願意對我敞開心扉。"	"Fri4"
"Sebastian told me he's trying to quit smoking! I'm really proud of him."	"賽巴斯汀告訴我他正努力戒菸！我真為他感到驕傲。"	"Fri4_inlaw_Sebastian"
"Our house is in such a beautiful area, don't you think?"	"我們家四周的景色是不是很漂亮？"	"Sat"
"I love the fresh air of the mountains."	"我喜歡山上的清新空氣。"	"Sat"
"I hope Demetrius doesn't blow the house up with those science experiments of his."	"希望迪馬崔斯做的那些實驗不會把房子給炸了。"	"Sun"
"I'm not even sure what he's working on. I think it has something to do with plants."	"我不知道他在研究什麼，但好像是跟植物有關的。"	"Sun"
"My husband almost set the house on fire last night with his science experiment. One of his beakers exploded and sent a fireball into the rafters! Thank Yoba I used fire-resistant lacquer when I built the place."	"我丈夫昨晚做科學實驗差點把房子給燒掉了。他的其中一個燒瓶爆炸了，對著房椽射出了一顆火球！由巴在上，還好我當初建造這間房子的時候用了耐火漆。"	"Sun2"
"Sorry if it smells weird in here, @. It's my husband's bizarre science project..."	"如果有難聞之極的氣味，請見諒，@。我丈夫又在搞奇奇怪怪的科學專案……"	"Sun2"
"Hi @! It's good to see you."	"嗨，@！很高興見到你。"	"Sun6"
"You're a regular member of the community now, don't you think?"	"你不覺得自己已經融入了這個社區嗎？"	"Sun6"
"Great, then this blueprint should be a piece of cake for you!"	"太好了，那麼這份設計圖對你來說一定是易如反掌！"	"event_wood1"
"Well, then I have the perfect blueprint to get you started!"	"那我這份設計圖就很適合你了！"	"event_wood2"
"Wood is a wonderful substance... it's versatile, cheap, strong, and each piece has it's own unique character!"	"木材是一種很棒的東西，它的用途很多，便宜又結實，每一塊都具有獨特的性質。"	"summer_Mon"
"If you need any buildings on your farm upgraded, just ask me!"	"如果你想要擴建農場的建築，告訴我就好了！"	"summer_Tue"
"You'll need to provide enough lumber and stone for the project. And it costs money, too."	"你只需為該項目提供足夠的木材和石頭。當然也需要花錢。"	"summer_Tue"
"But I'm sure you'll be pleased with the results!"	"但我保證成果會讓你滿意！"	"summer_Tue"
"We're pretty insulated from the rest of the world here in Stardew Valley."	"我們星露谷這裡可算是與世隔絕。"	"summer_Fri"
"It has its pros and cons."	"有好也有壞。"	"summer_Fri"
"Maru likes gems. She uses them in her inventions."	"瑪魯喜歡寶石。她需要寶石發明東西。"	"fall_Mon"
"So how are you and Maru getting along?"	"你跟瑪魯合得來嗎？"	"fall_Mon"
"You're always welcome to visit us, even if you aren't in the market for a building upgrade!"	"就算不是來找我蓋房子，我們也很歡迎你來聊聊天的！"	"fall_Thu"
"It can get pretty lonely up here in the mountains."	"山上的生活有時候挺孤獨的。"	"fall_Thu"
"Have you met the wild man that lives behind our house?"	"你遇見住在我們房子後的那位野人了嗎？"	"fall_Fri"
"I guess I don't really mind, as long as he doesn't bother us."	"只要他不打擾我們，那我也不在意他的存在。"	"fall_Fri"
"Hey, it's a perfect time of year to gather wood."	"這是一年中最適合採集木材的時候了。"	"winter_Mon"
"Maybe you can collect enough to upgrade your house!"	"也許你能夠找到足夠的木材升級你的屋子！"	"winter_Mon"
"My parents were bewildered when I told them I wanted to be a carpenter."	"當初我告訴父母我想成為木匠時，他們都聽傻了。"	"winter_Fri"
"They were pretty old-fashioned."	"我父母是很墨守成規的人。"	"winter_Fri"
"I think the farm life is really healthy for Sebby."	"我覺得農場生活對小巴來說很健康。"	"winter_Fri_inlaw_Sebastian"
"Our house is in such a beautiful area, don't you think?"	"我們家附近的景色是不是很美？"	"winter_Sat"
"Everything looks still after a fresh snow."	"剛下完雪後一切都如此安寧。"	"winter_Sat"
