"I don't know you. Why are you talking to me?"	"我根本就不認識你，你幹嘛跟我說話？"	"Mon"
"Buh... hope the bar's open."	"呃……希望酒吧有開。"	"Resort_Entering"
"Welp... got my year's supply of Vitamin D. Now I can play video games with the blinds shut the rest of the year."	"啊……我一年的維他命 D 攝取量已經滿了，所以今年剩下的時間裡，我可以暗無天日地打遊戲了。"	"Resort_Leaving"
"That's right... I'm not wearing any shoes or socks."	"沒錯……我不穿鞋子也不穿襪子。"	"Resort_Shore"
"Some call it a public health risk."	"有人說這是公共衛生的潛在風險。"	"Resort_Shore"
"The crabs seem to enjoy it, though."	"但螃蟹們似乎很喜歡。"	"Resort_Shore"
"Hoo... Feels good to rest these hams."	"呼……總算能讓我烤焦的腿休息一下了。"	"Resort_Chair"
"If anyone needs me, I'll just be sitting here, marinating."	"有人找我的話讓他來這裡，我會一直坐在這裡醃著我的腿。"	"Resort_Chair"
"Phew... feels good to have a cold drink..."	"呼……喝冷飲的感覺真不錯……"	"Resort_Bar"
"Or maybe a few..."	"要不再來點……"	"Resort_Bar"
"Okay, this sand is piping hot. I regret not wearing shoes."	"行吧，這裡的沙子真燙。我後悔沒穿鞋了。"	"Resort"
"...No."	"……不要。"	"danceRejection"
"I heard you built Pam a house... That's really generous..."	"聽說你付錢幫潘姆蓋了一棟新房子……你真慷慨啊……"	"pamHouseUpgrade"
"You know, I could use a hundred thousand gold myself..."	"你知道……我自己就可以花光十萬塊……"	"pamHouseUpgrade"
"*ahem* ...ah ...Just kidding. ...Heh."	"啊哈……啊……開玩笑的……嘿。"	"pamHouseUpgrade"
"I heard someone bought Pam a house... *sigh*... What did Pam ever do to earn that kind of generosity??"	"聽說有人買了一棟新房子給潘姆……唉……潘姆到底做了什麼才有這種好康？"	"pamHouseUpgradeAnonymous"
"..."	"……"	"divorced"
"...Leave me alone."	"……離我遠一點。"	"divorced"
"*gulp* Oh... Yeah, okay... I guess I should've seen this coming."	"（吞口水）喔……嗯，好吧……我早該知道會這樣。"	"breakUp"
"I'll... uh... guess I'll see you at the Saloon."	"我……呃……那就酒吧見。"	"breakUp"
"Shane has a glazed look in his eye. He won't speak to you."	"謝恩的眼中黯淡無光。他不會跟你說話。"	"dumped_Guys"
"I don't understand you... *sigh*..."	"我搞不懂你……唉……"	"secondChance_Guys"
"I hardly know you. Why are you talking to me?"	"我又跟你不熟，你幹嘛跟我說話？"	"Mon2"
"Hey. Sorry if I came off as rude when we first met."	"嘿，如果你覺得剛認識的時候我很沒禮貌的話，我道歉。"	"Mon4"
"It takes me a while to warm up to strangers."	"我比較慢熟。"	"Mon4"
"Do you ever feel like the whole world is scrutinizing you like some disgusting insect?"	"你有沒有過這種感覺：整個世界都對你充滿了惡意？"	"Mon10"
"What? What do you want? Go away."	"什麼？你想要做什麼？快走開。"	"Tue"
"What do you want from me? Money? I'd give you a pot of gold to leave me alone!"	"你找我到底要做什麼啊？要錢？要是你不來煩我，我會給你一堆錢！"	"Tue2"
"Every time I try something new it goes horribly wrong. You learn to just stay in a shell."	"每次我做什麼新嘗試都會搞砸，之後就學會安於現狀了。"	"Tue4"
"Life isn't so bad... at least I have frozen pizza and eggs."	"生活好像也沒那麼糟嘛……至少我還有冷凍披薩和雞蛋可以吃。"	"Tue6"
"No, I don't have time to chat with you."	"不行，我沒時間和你聊天。"	"Wed"
"I guess I've grown attached to Marnie and Jas. We're a ragtag bunch but it kind of feels like a weird family."	"看來我是和瑪妮和潔絲有了感情呢。我們都是身份卑微的人，卻有一種微妙的家庭感。"	"Wed8"
"I never really had much of a family as a kid."	"我的童年並沒有家。"	"Wed8"
"*sigh* ...Every day is the same. Stocking those horrible shelves, going to the saloon, tossing and turning all night."	"唉……每天過的都一樣，整理那些討厭的貨架、去酒吧喝酒，然後整個晚上心煩到睡不著。"	"Wed4"
"I hated my job at JojaMart, but now that I'm unemployed I feel even worse."	"我討厭在 Joja 超市工作，但是現在沒工作了感覺更糟。"	"Wed4"
"What do you want? Leave me alone."	"你想要做什麼？別來煩我。"	"Thu"
"You're really persistent. I guess I'm just surprised that anyone would be interested in talking to me."	"你還真是鍥而不捨。真沒想到竟然還有人願意和我說話。"	"Thu4"
"Buh... Where's the Joja Cola?"	"但……Joja 可樂呢？"	"Thu6"
"You like talking to me? I guess I believe you... maybe you're as weird as I am."	"你喜歡跟我說話嗎？我大概是信了……也許你和我一樣奇怪。"	"Thu8"
"Don't you have work to do?"	"你不用工作嗎？"	"Fri"
"Shane's hard at work. He doesn't seem interested in talking."	"謝恩正在努力工作，似乎沒心情聊天。"	"JojaMart"
"What's the point of life if all you do is work?"	"整天都在工作，那人生還有什麼意義？"	"Fri4"
"I haven't been able to pay my rent, but Marnie's letting me stay anyway. I'm lucky."	"我連房租都付不起，但是瑪妮還是沒有把我趕走。我真的很幸運。"	"Fri4"
"I'll definitely be going to the saloon tonight. What else is there to do?"	"我今天晚上絕對要去酒吧。不然還有什麼事可以做？"	"Fri6"
"Why are you bothering me? I want to be alone."	"你為什麼要來煩我？我不想跟任何人說話。"	"Sat"
"I'm surprised that you're still trying to make friends with me. Haven't I been rude enough to you yet?"	"沒想到你竟然還想跟我交朋友，我對你還不夠糟糕嗎？"	"Sat2"
"*sigh*..."	"唉……"	"Sat2"
"I'm renting my room from Marnie at a really good price. It's small but I can't complain."	"瑪妮用很便宜的價格租了房間給我。雖然很小，但我也沒資格抱怨。"	"Sat4"
"If I could reset my life maybe I'd start a chicken farm. Only free-range eggs of course."	"要是我能從頭來過，搞不好我會開一間養雞場。當然只賣放養雞蛋。"	"Sat4"
"I've really grown attached to Marnie's chickens."	"我和瑪妮的雞建立了很深的感情呢。"	"Sat8"
"I'm busy, can't you tell?"	"你看不出來我很忙嗎？"	"Sun"
"...I think I might be gaining weight."	"……我最近好像胖了。"	"Sun6"
"If I watch more TV maybe I can forget about life. That would be relaxing."	"要是我再多看些電視，應該就能忘掉生活中的煩心事了吧。那可就太棒了。"	"Sun8"
"Hi, @. I've actually been having a pretty good day so far."	"嗨，@。其實我今天過得還挺不錯的。"	"Sun10"
"Hmm... it's %time. Should I throw a frozen pizza in the microwave, or should I wait?"	"嗯……已經%time了。我是要隨便微波個冷凍披薩還是在等一下？"	"Sun4"
"You again? How many times do I have to tell you to leave me alone?"	"怎麼又是你？到底要我講幾遍你才會給我滾開？"	"Sun2"
"Okay... that'll require a great script. Maybe I'll ask Elliott for advice next time I see him at the saloon."	"嗯……這需要有個好劇本才行。或許我下次去酒吧遇到艾略特的時候再跟他請教一下。"	"event_room1"
"Sounds great. I'll have to create a bunch of practical effects to make it look cool."	"聽起來不錯嘛。我去搞點特效什麼的，看起來會更棒。"	"event_room2"
"I didn't know you were such a miser..."	"我都不知道你這個人這麼吝嗇……"	"event_noLoan1"
"Okay, Dad..."	"好的，爸爸……"	"event_noLoan2"
"Okay, Mom..."	"好的，媽媽……"	"event_noLoan2"
"Oh, wow..."	"噢，哇……"	"event_noLoan3"
"...Yeah, me too."	"……對，我也是。"	"event_apologize1"
"I know... that's why I stopped by, to tell you about it."	"我知道……所以我才過來告訴你。"	"event_apologize2"
"Wow, it was that serious, huh? I can hardly remember..."	"哇，有這麼嚴重嗎？我幾乎沒有印象……"	"event_apologize3"
"Oh yeah? I guess that makes sense."	"哦，是嗎？也有些道理。"	"event_stadium1"
"Me? I get bored with Pelican Town sometimes."	"我？有時候我會覺得鵜鶘鎮很無聊。"	"event_stadium1"
"But... I like that you're different. We balance each other out."	"但是……我喜歡與眾不同的你。我們兩個剛好互補。"	"event_stadium1"
"Oh really? I'm surprised... Didn't you move to Stardew Valley to escape the noise of the city?"	"真的假的？我很意外……你搬來星露谷不就是因為想遠離城市的喧囂？"	"event_stadium2"
"I mean... Don't get me wrong, I totally understand. My life in Pelican Town is pretty bland, you know."	"我是說……不要搞錯我的意思，我完全理解。我在鵜鶘鎮的生活相當乏味，你知道的。"	"event_stadium2"
