"The valley looks more interesting in the rain... don't you think?"	"雨天的星露谷別有一番滋味……你說呢？"	"Abigail"
"The rain doesn't stop me from getting a job done!"	"大雨不能阻止我完成工作！"	"Robin"
"Although soggy wood isn't a joy to work with."	"不過潮濕的木材很難處理。"	"Robin"
"Greetings. Stay inside if you want to keep warm."	"你好。想取暖的話就待在室內吧。"	"Demetrius"
"When it rains I have a good excuse to work on my gadgets all day."	"下雨天我就有理由整天弄一些小東西了。"	"Maru"
"It must be kind of boring for you, though."	"不過這對你來說應該有點無聊。"	"Maru"
"If you're lucky, you might see a frog in this weather."	"運氣好的話，這種天氣可能會看見青蛙。"	"Sebastian"
"A warm rain is a pleasant way to get clean."	"暖暖的雨很適合當作沐浴。"	"Linus"
"Most people stay indoors on days like this... It's not good for business."	"這種天氣很多人都待在家裡……生意不好做啊。"	"Pierre"
"My garden is happy today."	"今天我的花花草草們一定很開心。"	"Caroline"
"...and our water bill will be lower this month."	"……而且我們這個月的水費也會比較低。"	"Caroline"
"Hmmph. This is not good weather for sports."	"唔。這種天氣不適合運動。"	"Alex"
"Oh well, I can always lift weights inside."	"哦，不過在室內還是可以練習舉重的。"	"Alex"
"It's awful cold, isn't it? What a rotten day."	"天氣也太冷了吧？日子真難熬啊。"	"George"
"When I woke up I heard dripping from somewhere... I think the roof might be leaking."	"我一醒來就聽到哪裡在滴水……應該是屋頂漏水了。"	"Evelyn"
"In the old days, George would've scampered right up and fixed it... *sigh*"	"喬治以前都會馬上爬上去修好……唉……"	"Evelyn"
"Hi there, @. Taking a break?"	"你好啊，@。今天可以偷個閒吧？"	"Lewis"
"I hope the river doesn't overflow..."	"希望河水不會氾濫……"	"Lewis"
"Today would be a good day to explore the mines... Who knows, you might find some rare ores."	"今天是探索礦坑的好日子……說不定能夠找到一些稀有的礦石。"	"Clint"
"The raindrops are really loud on the metal roof of our trailer."	"雨滴打在我們房車的金屬車頂上的聲音非常響亮。"	"Penny"
"...It's soothing, though."	"……不過挺好聽的。"	"Penny"
"Howdy, kid. Stayin' dry?"	"孩子，你好啊。沒淋濕吧？"	"Pam"
"It never rains in Calico Desert... That's where my friend Sandy lives."	"卡利科沙漠從不下雨……我朋友沙蒂就住在那裡。"	"Emily"
"I wish I could've visited her today."	"真希望今天能去看她。"	"Emily"
"I spent all morning doing my hair... now the rain could mess it up."	"我花了一整個早上弄頭髮……結果一場大雨就給我毀了。"	"Haley"
"*sigh* ... Life is hard sometimes."	"唉……人生有時真難。"	"Haley"
"Did you wipe your boots off before coming in? Sorry... I just cleaned the floor."	"你進來之前有把靴子擦乾淨嗎？抱歉……我剛剛才擦過地板。"	"Jodi"
"But you're always welcome in here! Heh."	"不過這裡隨時歡迎你哦！呵呵。"	"Jodi"
"Rain muffles sound, so I can play my guitar louder without my Mom getting mad. Hehe."	"雨聲這麼大，就算我吉他彈大聲一點我媽也不會生氣，嘿嘿。"	"Sam"
"Maybe I should cook something new and exciting today. Something spicy."	"也許我今天該煮一些新鮮刺激的菜。辣菜好像挺不錯的。"	"Leah"
"Hmm... this weather makes me thirsty."	"嗯……這天氣讓我覺得很乾渴。"	"Shane"
"Hi @. You look like you're soaked...you poor thing!"	"嗨，@。你都成落湯雞了……可憐的孩子！"	"Marnie"
"Sometimes when I lay in bed I can hear a distant foghorn cut through the rain."	"有時我躺在床上會聽見遠方船隻的霧笛聲穿梭在雨中。"	"Elliott"
"But when I look out the window I see only a curtain of gray."	"但是望出窗外卻只看見灰濛濛的一片。"	"Elliott"
"There's nothing like a glass of dry red wine on a day like this, huh?"	"這種天氣最適合來一杯乾澀的紅酒了，對吧？"	"Gus"
"I love my job. Hehehe."	"我愛死我的工作了，嘿嘿嘿。"	"Gus"
"Rain... It's almost mythical to us. Some of us dwarves live our entire lives without ever experiencing it."	"雨……對我們來說就像神話故事一樣。有些矮人甚至一輩子都沒見過下雨。"	"Dwarf"
"Stormy days are the only time I can commune with certain elementals."	"暴雨天是我跟某些元素溝通的唯一機會。"	"Wizard"
"I don't expect you to understand."	"你不會明白的。"	"Wizard"
"Hi @! Er... Read anything interesting in the library lately?"	"嗨，@！呃……最近在圖書館有發現什麼好書嗎？"	"Harvey"
"Heh. Well, um... I'll see you around then?"	"嘿。那個，呃……下次再聊？"	"Harvey"
"I heard it's raining back home. Is that why you came here?"	"聽說家鄉在下雨，你是為了避雨才跑來這裡嗎？"	"Sandy"
"I kind of miss the rain, actually..."	"話說我有點懷念雨景了……"	"Sandy"
"Ah, the sewers are flowing quickly today. It'll get nice and humid in here... Just how I like it."	"啊，今天下水道水量很大。這裡會變得十分潮濕……就像我喜歡的那樣。"	"Krobus"
"The valley is peaceful when it rains."	"下雨時山谷裡很平靜……"	"Leo"
"To me... nature is someone I know, with different moods."	"對我來說……大自然就像是一個熟人，有著不同的情緒。"	"Leo"
