"@, you made it!"	"@我成功了！"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"I feel so relieved to be done with my book... it's like an elephant's been lifted off my shoulders."	"寫完後我整個人都輕鬆多了……就像便秘了整個月突然暢通無阻的感覺。"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"Well, I'd better get started with the reading... Wish me luck."	"我得開始閱讀了……祝我好運吧。"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"Good afternoon, everyone."	"大家午安。"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"Hi!"	"嗨！"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"Ever since I was a young boy, I've dreamt of becoming a writer."	"我從小就想當一位作家。"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"When the time came for me to leave home and start my own life, I moved here. I was drawn to the peaceful beauty of the valley, and hoped that days of quiet reflection in this idyllic atmosphere would fan the literary flames."	"當我長大出外闖蕩時，我就選擇了移居到這裡來。因為這個山谷的寧靜之美深深地吸引住了我。我希望能夠在這裡獲得創作的靈感。"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"After countless hours scribbling at my writing desk, I present to you my first novel: 'The Rise And Fall Of Planet Yazzo'... It's a sci-fi epic spanning thousands of years in an exotic planetary system."	"經過無數個小時在書桌前奮鬥後，我給你們帶來了我的第一本創作：《亞索行星的興衰史》……這是一本科幻小說，描述一個遙遠的銀河系延綿數千年的故事。"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"Chapter One."	"第一章．"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"Commander Yutkin stepped through the golden archway as the airlock snapped shut behind him. Today was his first day on Planet Yazzo, and all 14 of the alliance delegates had been summoned to the Grand Spire..."	"尤德金指揮官踏上金碧輝煌的走道，身後的氣閥門隨之關閉。這是他第一次踏上亞索行星，所有 14 位同盟代表都被聚集在宏偉尖塔……"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"...And as the 7th moon descended beneath the horizon, the planet of Yazzo would begin its sinister transformation... an event for which Commander Yutkin was completely unprepared."	"……當第七個月亮在地平線沉下時，亞索行星會開始進行邪惡的轉變……這是連尤德金指揮官都完全沒有料到的。"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"Well, that concludes my reading. I'll be selling signed copies of the book by the front desk. Thanks for listening!"	"閱讀就到此為止。我會在前臺出售親筆簽名版的書本。謝謝收聽"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"Well, how was it?"	"感覺怎麼樣？"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"Thanks. "	"謝謝。"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"You know, I got the idea for making a sci-fi book from you. Do you remember?"	"其實我創造這本科幻小說的靈感是來自於你。你還記得嗎？"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"That's why I've dedicated this book to you..."	"所以我把這本書獻給你……"	"1848481/f Elliott 2000/t 1300 1900/n elliottReading"
"After countless hours scribbling at my writing desk, I present to you my first book: 'Blue Tower'... It's a mystery novel set in a surreal, dystopian future."	"經過無數個小時在書桌前奮鬥後，我給你們帶來了我的第一本創作：《藍塔》……這是一本在未來世界的懸疑小說。"	"mysteryBook"
"Chapter One."	"第一章．"	"mysteryBook"
"From the shadows emerged a man, radiating with enigmatic omniscience. 'Good Evening, Mr. Lu,' he said, the corners of his mouth quivering. Lu seemed astonished. 'How did you know my name?"	"陰影中走出一位充滿睿智的男子。「午安，陸先生，」他顫慄著嘴角說道。陸非常驚訝。「你是怎麼知道我叫什麼名字的？」"	"mysteryBook"
"Lu checked Jenu's pockets, then stood up and walked into the bedroom. He quickly found the small golden key that he was looking for and slipped it into his coat pocket."	"陸檢查潔努的口袋，然後站起身走進臥室。他很快發現了自己在尋找的黃金小鑰匙，然後把它放進自己的外套口袋中。"	"mysteryBook"
"Well, that concludes my reading. I'll be selling signed copies of the book by the front desk. Thanks for listening!"	"閱讀就到此為止。我會在前臺出售親筆簽名版的書本。謝謝收聽"	"mysteryBook"
"Well, how was it?"	"感覺怎麼樣？"	"mysteryBook"
"Thanks. "	"謝謝。"	"mysteryBook"
"You know, I got the idea for making a mystery from you. Do you remember?"	"其實我創造這本懸疑小說的靈感是來自於你。"	"mysteryBook"
"That's why I've dedicated this book to you..."	"所以我把這本書獻給你……"	"mysteryBook"
"After countless hours scribbling at my writing desk, I present to you my first novel: 'Camellia Station'... It's a romance novel about a train stewardess who falls in love with a traveling architect..."	"經過無數個小時在書桌前奮鬥後，我給你們帶來了我的第一本創作：《茶花車站》……這是一本愛情小說，是關於一位愛上建築師的火車乘務員……"	"romanceBook"
"Chapter One."	"第一章．"	"romanceBook"
"'Your ticket, sir?' Ticket collector Gozman extended a gloved hand towards the young commuter. 'Ah, yes. I have it right here,' he replied, reaching into his coat pocket. Mortified, he discovered that the ticket was missing."	"「你的車票呢，先生？」收票員戈茲曼向一位年輕的乘客招了招手。「啊，對了。我的票就在這裡。」他一邊回答，一邊把手伸進外套口袋裡。當他發現車票不知所蹤時，頓時石化了。"	"romanceBook"
"...'Clara, there's something I must tell you,' he blurted as she turned to leave. Clara turned, slowly, and saw the look of desperation in Horatio's eye. At that moment Gozman burst into the compartment, red-faced."	"「克萊拉，有件事我必須告訴你……」看見她轉身離開，他不禁脫口而出。克萊拉慢慢轉過身子，看見霍雷肖眼中的絕望。同一時間，憤怒的戈茲曼衝進了廂房。"	"romanceBook"
"Well, that concludes my reading. I'll be selling signed copies of the book by the front desk. Thanks for listening!"	"閱讀就到此為止。我會在前臺出售親筆簽名版的書本。謝謝收聽"	"romanceBook"
"Well, how was it?"	"感覺怎麼樣？"	"romanceBook"
"Thanks. "	"謝謝。"	"romanceBook"
"You know, I got the idea for writing a romance novel from you. Do you remember?"	"其實我創造這本愛情小說的靈感是來自於你，你還記得嗎？"	"romanceBook"
"That's why I've dedicated this book to you..."	"所以我把這本書獻給你……"	"romanceBook"
"Abysmal..."	"糟透了……"	"0/n somethingToDonate/l somethingWasDonated"
"Not a single piece in the entire collection."	"整個收藏裡半個都找不到。"	"0/n somethingToDonate/l somethingWasDonated"
"What's this? You found something? Let me see it!"	"這是什麼？你找到了？讓我看看！"	"0/n somethingToDonate/l somethingWasDonated"
"Remarkable!"	"太美妙了！"	"0/n somethingToDonate/l somethingWasDonated"
"It's very old."	"這本書很舊了。"	"0/n somethingToDonate/l somethingWasDonated"
"I'd love to study this in greater detail... But it is yours."	"我很想深入研究……不過書是你找到的。"	"0/n somethingToDonate/l somethingWasDonated"
"Hmmm..."	"唔……"	"0/n somethingToDonate/l somethingWasDonated"
"I've got a favor to ask you."	"我想找你幫個忙。"	"0/n somethingToDonate/l somethingWasDonated"
"Would you consider donating any new artifacts or minerals that you find?"	"你是否願意捐獻你找到的任何文物或者礦物？"	"0/n somethingToDonate/l somethingWasDonated"
"We could make a groundbreaking discovery together!"	"我們可以聯手進行開創性的發現！"	"0/n somethingToDonate/l somethingWasDonated"
"Oh, and who knows... If you keep donating I might come across some interesting items to send your way."	"而且，如果你一直捐獻的話，說不定我會送你一些有趣的物品。"	"0/n somethingToDonate/l somethingWasDonated"
"Think about it, will you?"	"考慮一下吧，好嗎？"	"0/n somethingToDonate/l somethingWasDonated"
"If you decide to donate, just bring the objects to the front desk."	"如果你決定捐獻了，就把物品帶到前臺來。"	"0/n somethingToDonate/l somethingWasDonated"
