"Oh! @."	"噢！@。"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"The lighting is so nice right now... I had to come out and take some nature shots."	"陽光真好……我出來拍拍照片。"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"I've been trying to connect with the outdoors a little more..."	"我想多出門走走……"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"I wanna know what it's like, being a farmer. It's a way of life I've never really thought about."	"我想知道農夫生活是什麼樣的。我從沒想過這樣的生活。"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"Well, until now..."	"直到現在……"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"Heh, these cows are so cute..."	"呵呵，這些乳牛好可愛……"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"Hey, I have an idea!"	"嘿，我有個主意！"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"Let's take some pictures with these cows! You can show me how to approach one."	"我們跟這些乳牛拍張照吧！你教教我怎麼接近乳牛！"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"I'll just set it to shoot on a timer."	"我會設定好計時器。"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"...geh..."	"哞……"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"*giggle*"	"* 咯咯 *"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"That was fun, @! ...And these photos are hilarious!"	"太好玩了，@！這些照片也很滑稽！"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"I'm gonna go home and take a shower now..."	"我現在想要回家洗個澡……"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"Well, that was the dirtiest I've ever been."	"我從來沒有這麼髒過。"	"14/f Haley 2000/z winter/t 1000 1600/w sunny"
"Oh! @! You scared me."	"噢！@，你嚇到我了！"	"52/f Leah 1500/p Leah/z winter"
"See that fruit up there? It looks delicious, doesn't it?"	"看見上面的水果了嗎？看起來很好吃啊！"	"52/f Leah 1500/p Leah/z winter"
"But I can't reach it."	"可是我搆不到。"	"52/f Leah 1500/p Leah/z winter"
"Aghh!"	"啊啊！"	"52/f Leah 1500/p Leah/z winter"
"Hehe...Thanks."	"呵呵……謝了。"	"52/f Leah 1500/p Leah/z winter"
"Okay... got it!"	"好的……拿到了！"	"52/f Leah 1500/p Leah/z winter"
"You're stronger than you look!"	"你比看起來還要強壯！"	"52/f Leah 1500/p Leah/z winter"
"Here, try a piece... "	"來，嚐一塊……"	"52/f Leah 1500/p Leah/z winter"
"You know, I just realized something."	"我剛想起來一件事。"	"52/f Leah 1500/p Leah/z winter"
"Even if my art career is a flop, I'll always have a friend to catch me on the way down."	"就算我的藝術生涯以失敗告終，也總會有朋友在我跌落谷底的過程中撈我一把。"	"52/f Leah 1500/p Leah/z winter"
"Thanks for helping me earlier..."	"謝謝你之前的幫助……"	"52/f Leah 1500/p Leah/z winter"
"Hi @. I knew you'd be passing through here today."	"嗨，@。我知道你今天會從這路過。"	"54/f Leah 2500/t 1100 1600/z winter"
"...So I put together a surprise..."	"……所以我準備了個驚喜……"	"54/f Leah 2500/t 1100 1600/z winter"
"It's a little picnic for us!"	"一起小小地野餐一頓吧！"	"54/f Leah 2500/t 1100 1600/z winter"
"This is a vegetable medley, with my 'special' spice blend."	"這是蔬菜雜燴，用我「特製」的調味品調製的。"	"54/f Leah 2500/t 1100 1600/z winter"
"...and this is a fresh salad, made from greens that I foraged right here in the forest!"	"……這是新鮮的沙拉，用的是我從這座森林裡採來的蔬菜！"	"54/f Leah 2500/t 1100 1600/z winter"
"@, um..."	"@，呃……"	"54/f Leah 2500/t 1100 1600/z winter"
"I just want to say thank you... for helping me get one step closer to becoming a real artist."	"我想謝謝你……幫助我距離成為真正的藝術家又近了一步。"	"54/f Leah 2500/t 1100 1600/z winter"
"DISTANT VOICE: Well, well, well... What have we here?"	"遙遠的聲音：哎呀哎呀哎呀……看看誰來了？"	"54/f Leah 2500/t 1100 1600/z winter"
"Kel??"	"凱爾？？"	"54/f Leah 2500/t 1100 1600/z winter"
"What the heck are you doing here?"	"你怎麼在這裡？"	"54/f Leah 2500/t 1100 1600/z winter"
