"Urgghh! I always clean under the cushions! It's YOUR turn this week!"	"呃啊啊！老是我打掃坐墊下面！這週輪到你了！"	"11/f Haley 500/p Haley/p Emily"
"You're being childish, Haley. I do the vast majority of work in this house, and you know it."	"你真孩子氣，海莉。這房子裡大部分的家務都是我做的，你心知肚明。"	"11/f Haley 500/p Haley/p Emily"
"Oh, it's that new farm boy."	"哦，是那個新來的農場男孩。"	"11/f Haley 500/p Haley/p Emily"
"Oh, it's that new girl from the farm."	"哦，是那個新來的農場女孩。"	"11/f Haley 500/p Haley/p Emily"
"He has a name, you know."	"他有名字的。"	"11/f Haley 500/p Haley/p Emily"
"She has a name, you know."	"她有名字的。"	"11/f Haley 500/p Haley/p Emily"
"Hey, I bet you'll understand my point of view here."	"嘿，你會理解我的。"	"11/f Haley 500/p Haley/p Emily"
"*sigh*... I'm really sorry to involve you in this, @. Haley is complaining because I asked her to clean under the cushions."	"*唉*……抱歉把你牽扯進來了，@。海莉在抱怨我讓她打掃坐墊下面。"	"11/f Haley 500/p Haley/p Emily"
"It's only because I cleaned them last week!"	"那是因為上週是我打掃的！"	"11/f Haley 500/p Haley/p Emily"
"Stop whining and just clean it!"	"少廢話，趕緊打掃！"	"11/f Haley 500/p Haley/p Emily"
"Haley, why not have this be your one weekly job?"	"海莉，何不每週固定打掃一次呢？"	"11/f Haley 500/p Haley/p Emily"
"Emily, take the high road and do it this time."	"艾米麗，這次就去打掃吧。"	"11/f Haley 500/p Haley/p Emily"
"Alright, you win. I guess this can be my job every week. Then there won't be any reason to argue over it."	"好吧，你贏了。不出意外這就成了我每週的工作了。然後就不用再爭吵了。"	"11/f Haley 500/p Haley/p Emily"
"Thanks, @. That was a great solution."	"非常感謝，@。圓滿解決了呢。"	"11/f Haley 500/p Haley/p Emily"
"*sigh*... I guess I'll just do it, then..."	"*唉*……那我去打掃吧……"	"haleyWontDoIt"
"Nnnnnghhh... I just can't get this jar open!"	"唔嗯嗯嗯……我打不開這個罐子！"	"12/f Haley 1000/p Haley"
"..."	"……"	"12/f Haley 1000/p Haley"
"Oh! It's you...@, right?"	"噢！是你啊……@對吧？"	"12/f Haley 1000/p Haley"
"Say... you're pretty strong, aren't you?"	"話說……你挺有勁的，對吧？"	"12/f Haley 1000/p Haley"
"Yes"	"是"	"12/f Haley 1000/p Haley"
"No"	"不是"	"12/f Haley 1000/p Haley"
"Hey, you did it! You're stronger than you look!"	"你還真打開了欸！你比看起來還要強壯！"	"12/f Haley 1000/p Haley"
"Thanks!"	"謝謝！"	"12/f Haley 1000/p Haley"
"Come in! Just make sure to close the door quickly behind you!"	"進來吧！記得快點把門關上！"	"15/f Haley 2500/p Haley"
"@, you're here!"	"@你來啦！"	"15/f Haley 2500/p Haley"
"Welcome to my brand new dark room!"	"歡迎光臨我的新暗室。"	"15/f Haley 2500/p Haley"
"So... what do you think?"	"那……你覺得怎麼樣？"	"15/f Haley 2500/p Haley"
"It looks great!"	"看起來非常棒！"	"15/f Haley 2500/p Haley"
"What does it do?"	"這是做什麼用的？"	"15/f Haley 2500/p Haley"
"I've seen better."	"我見過比這更好的。"	"15/f Haley 2500/p Haley"
"Um... so, anyway... what do you want to do?"	"唔……話說回來……有什麼事嗎？"	"15/f Haley 2500/p Haley"
"Offer to help decorate the dark room."	"提出幫忙裝修暗室。"	"15/f Haley 2500/p Haley"
"Make an excuse and leave."	"找個藉口離開。"	"15/f Haley 2500/p Haley"
"Try to kiss her."	"親吻她。"	"15/f Haley 2500/p Haley"
