"Oh, hey. Gimme one sec."	"哦，嗨。稍等一下。"	"2794460/f Sebastian 500/p Sebastian"
"He's busy... I should leave."	"他很忙……我還是走吧。"	"2794460/f Sebastian 500/p Sebastian"
"Stay put."	"待在原地。"	"2794460/f Sebastian 500/p Sebastian"
"Where are you going?"	"你要去哪裡？"	"2794460/f Sebastian 500/p Sebastian"
"Sorry... I had to finish this line before I lost my train of thought."	"抱歉……我得在思路被打斷之前，把這一行搞定。"	"2794460/f Sebastian 500/p Sebastian"
"Okay. Sorry about that, I just needed to finish what I was working on."	"好了。真是抱歉，我要先把手頭的事情搞定。"	"didntLeave"
"Ask him what he's working on."	"問問他剛剛在做什麼。"	"sebastianRoom"
"Compliment the decor in his room."	"稱讚他房間的裝飾。"	"sebastianRoom"
"I do freelance work as a programmer."	"我有時候會接一些編寫程式的零工。"	"sebastianRoom"
"Decorations?... Oh, yeah... thanks. I've been sticking posters on the wall for years, I guess it's kinda cluttered."	"裝飾？哦，對哦……謝謝了。我在牆上貼海報已經貼好多年了。確實有點亂呢。"	"decor"
"That was  an instant message from Sam... I guess he wants to hang out..."	"是山姆的簡訊……看來他是想找我出去玩……"	"enterRobin"
"Ugh, I don't really feel like going out today."	"呃，我今天不太想出門。"	"enterRobin"
"Oh, hi @."	"啊，你好！@。"	"enterRobin"
"Sebby, I know you don't like it when I come in here... but I ran into Abigail at the store and she said she was looking for you."	"小巴，我知道你不想讓我進來……但我今天遇到了阿比蓋爾，她說她在找你。"	"enterRobin"
"Did you tell her I'm working?"	"你有沒有和她說我在工作？"	"enterRobin"
"I did... but she said she'd probably stop by anyway."	"說了……不過她說她可能還是要來。"	"enterRobin"
"*sigh*... No one takes my job seriously."	"唉……大家都不把我的工作當回事。"	"enterRobin"
"No one ever bothers Maru when she's working at the clinic... does everyone think I'm just surfing the web all day?"	"瑪魯在診所工作的時候就沒人去打擾她……難道大家以為我整天就是在網路上閒逛嗎？"	"enterRobin"
"Ask him about his career goals."	"問問他的工作目標。"	"enterRobin"
"Ask him why he doesn't want to see his friends."	"問問他為什麼不想見朋友。"	"enterRobin"
"Well, I'm trying to save up so I can move out of here. Probably to the city or something."	"嗯，我是想賺錢搬家。搬到城裡什麼的。"	"enterRobin"
"You know, If I'd gone to college I'd probably be making six figures right now... but I just don't want to be part of that corporate rat race, you know?"	"我要是上了大學，現在怎麼樣也賺到六位數了……但我並不想進入企業，過什麼勾心鬥角的日子，你懂吧？"	"enterRobin"
"Well, and I guess I just feel more comfortable hidden behind the computer than dealing with people face-to-face."	"看來，與其讓我和人面對面相處，還是躲藏在螢幕後面要舒服得多啊。"	"enterRobin"
"Well, I should get back to work... I need to get this module finished by tomorrow."	"我得繼續工作了……明天之前要把這個模組完成才行。"	"enterRobin"
"*sigh*... I like having friends, I just need a lot of time alone to balance out the social stuff."	"*唉*……我喜歡交朋友，但也需要許多時間來獨處。"	"noFriends"
"Sam's the opposite... he goes crazy if he's alone for too long."	"山姆則正好相反……一個人待太久，會讓他發瘋的。"	"noFriends"
"Maybe that's why I like computers so much... They're engaging, straightforward, and unselfish. Quite the opposite of a lot of people I know."	"也許正是因為這個，我才如此喜歡電腦……電腦充滿魅力，直截了當，又很無私。在我認識的人裡面，沒幾個有這樣的品味。"	"noFriends"
"Well, I should get back to work... I need to get this module finished by tomorrow."	"我得繼續工作了……明天之前要把這個模組完成才行。"	"noFriends"
"Hey, @. "	"嘿，@。"	"27/f Sebastian 1500/p Sebastian"
"Sam and I were about to play 'Solarion Chronicles: The Game'... Why don't you join us?  It's better with three players anyway."	"山姆和我正打算玩《索拉里昂編年史：遊戲版》……要不要加入我們？三個人一起更好玩。"	"27/f Sebastian 1500/p Sebastian"
"Okay, here we go... Let me draw the scenario card."	"好，開始了……讓我來抽取一張情境卡。"	"27/f Sebastian 1500/p Sebastian"
"Hmm... It looks like today's quest will take us into the Necromancer's Tower... to try and reclaim the Solarion Staff from the clutches of Dreadlord Xarth."	"唔……看來今天的任務是進入死靈法師之塔……從恐怖領主薩爾斯的手中奪回索拉里昂法杖。"	"27/f Sebastian 1500/p Sebastian"
"Cool... @, are you ready to choose your character?"	"好……@，可以選擇你的角色了嗎？"	"27/f Sebastian 1500/p Sebastian"
"Choose your character:"	"選擇你的角色："	"27/f Sebastian 1500/p Sebastian"
"Warrior. I like a direct approach."	"戰士。我喜歡直截了當。"	"27/f Sebastian 1500/p Sebastian"
