"Decorate?"	"裝修？"	"decorate"
"Um, okay."	"呃，好吧。"	"decorate"
"So that's the best thing you can think of doing right now? Here... in this small, dark room with me?"	"這就是你現在最想做的事情嗎？和我……待在這個小黑屋裡？"	"decorate"
"Interesting."	"有意思。"	"decorate"
"Well, the dark room looks great now... Thanks, @."	"嗯，這個小黑屋現在看起來好多了……非常感謝，@。"	"decorate"
"Oh, you have to leave already?"	"你這就要走了？"	"leave"
"Well... alright. Bye."	"唔，那好吧。拜。"	"leave"
"Wow... I didn't think he was that dense."	"喔……真沒想到他那麼木訥。"	"leave"
"Wow... I didn't think she was that dense."	"喔……真沒想到她那麼木訥。"	"leave"
"I thought you had something important to do..."	"我記得你好像還有事情要忙……"	"leave"
"I'm so embarrassed..."	"我真是太丟臉了……"	"tooBold"
"Hi, everyone. We're from Pelican Town... Er... and we're called 'The Pelicans"	"嗨，大家好。我們是來自鵜鶘鎮的……呃……別人叫我們「鵜鶘人」"	"poppy"
"This song's about Farming, mining, and chopping wood."	"這首歌寫的是做耕種、採礦和砍木材。"	"poppy"
""	""	"poppy"
" 8820"	" 8820"	"poppy"
"This song's about a city in the sea."	"這首歌寫的是一座海中城市。"	"poppy"
""	""	"poppy"
" 8821"	" 8821"	"poppy"
"This song's about trains."	"這首歌寫的是火車。"	"poppy"
"Here we go..."	"開始！"	"poppy"
"Wow! Those electronic sounds were far out!"	"哇！這電音很不錯啊！"	"poppy"
"Woooh! That was great!"	"哇！這太棒了。"	"poppy"
"That was great! It's a new honky-tonk classic!"	"這太棒了！這簡直是全新的酒吧音樂典範！"	"poppy"
"Nice work, guys!"	"你們太厲害了！"	"poppy"
"I really loved that heavy breakdown at the end."	"我特別喜歡結尾的處理。"	"poppy"
"I really enjoyed that bass part."	"我特別喜歡低音的部分。"	"poppy"
"Thanks, everyone!"	"謝謝大家！"	"poppy"
"But you should really be clapping for @! Without his help we'd never have decided what kind of music to make in the first place!"	"但你們真正應該感謝的是@！沒有他的幫助，我們根本就不知該去做哪種類型的音樂！"	"poppy"
"But you should really be clapping for @! Without her help we would've never decided what kind of music to make in the first place!"	"但你們真正應該感謝的是@！沒有她的幫助，我們根本就不知該去做哪種類型的音樂！"	"poppy"
"So you're like an honorary member of the band, then?"	"這麼說，你就是這個樂團的榮譽成員囉？"	"poppy"
"Oh! And don't forget to pick up one of our demo cassettes on the way out... Only 10g!"	"噢！走之前別忘了買一卷我們的試聽錄音帶……只要 10G！"	"poppy"
"That went well! Thanks again for coming with us."	"太順利了！再次感謝你陪我們一起來！"	"poppy"
"Hey. The show was a great success! Thanks again, @."	"喂。演出大獲成功！再次謝謝你了，@。"	"poppy"
"Hi, everyone. We're from Pelican Town... Er... and we're called 'Goblin Destroyer"	"嗨，大家好。我們是來自鵜鶘鎮的……呃……別人叫我們「哥布林毀滅者」。"	"heavy"
"This song's about Farming, mining, and chopping wood."	"這首歌寫的是做耕種、採礦和砍木材。"	"heavy"
""	""	"heavy"
" 8820"	" 8820"	"heavy"
"This song's about a city in the sea."	"這首歌寫的是一座海中城市。"	"heavy"
""	""	"heavy"
" 8821"	" 8821"	"heavy"
"This song's about trains."	"這首歌寫的是火車。"	"heavy"
"Here we go..."	"開始！"	"heavy"
"Wow! Those electronic sounds were far out!"	"哇！這電音很不錯啊！"	"heavy"
"Woooh! That was great!"	"哇！這太棒了。"	"heavy"
"That was great! It's a new honky-tonk classic!"	"這太棒了！這簡直是全新的酒吧音樂典範！"	"heavy"
"Nice work, guys!"	"你們太厲害了！"	"heavy"
"I really loved that heavy breakdown at the end."	"我特別喜歡結尾的處理。"	"heavy"
"I really enjoyed that bass part."	"我特別喜歡低音的部分。"	"heavy"
"Thanks, everyone!"	"謝謝大家！"	"heavy"
"But you should really be clapping for @! Without his help we'd never have decided what kind of music to make in the first place!"	"但你們真正應該感謝的是@！沒有他的幫助，我們根本就不知該去做哪種類型的音樂！"	"heavy"
"But you should really be clapping for @! Without her help we would've never decided what kind of music to make in the first place!"	"但你們真正應該感謝的是@！沒有她的幫助，我們根本就不知該去做哪種類型的音樂！"	"heavy"
"So you're like an honorary member of the band, then?"	"這麼說，你就是這個樂團的榮譽成員囉？"	"heavy"
"Oh! And don't forget to pick up one of our demo cassettes on the way out... Only 10g!"	"噢！走之前別忘了買一卷我們的試聽錄音帶……只要 10G！"	"heavy"
"That went well! Thanks again for coming with us."	"太順利了！再次感謝你陪我們一起來！"	"heavy"
"Hey. The show was a great success! Thanks again, @."	"喂。演出大獲成功！再次謝謝你了，@。"	"heavy"
"Hi, everyone. We're from Pelican Town... Er... and we're called 'Xenon Chip 3.0'."	"嗨，大家好。我們是來自鵜鶘鎮的……呃……別人叫我們「氙晶片 3.0」。"	"techno"
"This song's about Farming, mining, and chopping wood."	"這首歌寫的是做耕種、採礦和砍木材。"	"techno"
""	""	"techno"
" 8820"	" 8820"	"techno"
"This song's about a city in the sea."	"這首歌寫的是一座海中城市。"	"techno"
""	""	"techno"
" 8821"	" 8821"	"techno"
"This song's about trains."	"這首歌寫的是火車。"	"techno"
"Here we go..."	"開始！"	"techno"
"Wow! Those electronic sounds were far out!"	"哇！這電音很不錯啊！"	"techno"
"Woooh! That was great!"	"哇！這太棒了。"	"techno"
"That was great! It's a new honky-tonk classic!"	"這太棒了！這簡直是全新的酒吧音樂典範！"	"techno"
"Nice work, guys!"	"你們太厲害了！"	"techno"
"I really loved that heavy breakdown at the end."	"我特別喜歡結尾的處理。"	"techno"
"I really enjoyed that bass part."	"我特別喜歡低音的部分。"	"techno"
"Thanks, everyone!"	"謝謝大家！"	"techno"
"But you should really be clapping for @! Without his help we'd never have decided what kind of music to make in the first place!"	"但你們真正應該感謝的是@！沒有他的幫助，我們根本就不知該去做哪種類型的音樂！"	"techno"
"But you should really be clapping for @! Without her help we would've never decided what kind of music to make in the first place!"	"但你們真正應該感謝的是@！沒有她的幫助，我們根本就不知該去做哪種類型的音樂！"	"techno"
"So you're like an honorary member of the band, then?"	"這麼說，你就是這個樂團的榮譽成員囉？"	"techno"
"Oh! And don't forget to pick up one of our demo cassettes on the way out... Only 10g!"	"噢！走之前別忘了買一卷我們的試聽錄音帶……只要 10G！"	"techno"
"That went well! Thanks again for coming with us."	"太順利了！再次感謝你陪我們一起來！"	"techno"
"Hey. The show was a great success! Thanks again, @."	"喂。演出大獲成功！再次謝謝你了，@。"	"techno"
"Hi, everyone. We're from Pelican Town... Er... and we're called 'The Alfalfas"	"嗨，大家好。我們是來自鵜鶘鎮的……呃……別人叫我們「苜蓿人」。"	"honkytonk"
"This song's about Farming, mining, and chopping wood."	"這首歌寫的是做耕種、採礦和砍木材。"	"honkytonk"
""	""	"honkytonk"
" 8820"	" 8820"	"honkytonk"
"This song's about a city in the sea."	"這首歌寫的是一座海中城市。"	"honkytonk"
""	""	"honkytonk"
" 8821"	" 8821"	"honkytonk"
"This song's about trains."	"這首歌寫的是火車。"	"honkytonk"
"Here we go..."	"開始！"	"honkytonk"
