"Well, this is fun, isn't it?"	"好吧，這很有趣，不是嗎？"	"2123343/e 2111294/t 2200 2540/w sunny/F/D Emily"
"Kind of spooky, actually..."	"有點令人毛骨悚然，其實……"	"2123343/e 2111294/t 2200 2540/w sunny/F/D Emily"
"Heh... it's chilly out here..."	"嘿嘿……這裡很冷……"	"2123343/e 2111294/t 2200 2540/w sunny/F/D Emily"
"A bear! I hope he's not hungry... "	"一隻熊！我希望牠不餓……"	"2123343/e 2111294/t 2200 2540/w sunny/F/D Emily"
"Oh... the other sleeping bag is still outside..."	"哦……另一個睡袋還在外面……"	"2123343/e 2111294/t 2200 2540/w sunny/F/D Emily"
"No way am I going back out there!"	"我沒有辦法回到那裡去！"	"2123343/e 2111294/t 2200 2540/w sunny/F/D Emily"
"Um.. @? You don't mind sharing a sleeping bag with me, do you?"	"嗯……@？你不介意和我共用一個睡袋吧，是嗎？"	"2123343/e 2111294/t 2200 2540/w sunny/F/D Emily"
"That smell... come closer..."	"那個味道是……靠近點……"	"2120303/S 23/i 724/t 600 1900"
"Heh... It's not every day I get to speak to a human. Looks like you've got a little 'forest magic' in you..."	"嘿……我可不是經常能跟人類說上話的。你似乎會一點「森林魔法」……"	"2120303/S 23/i 724/t 600 1900"
"Now... about my note... Did you bring the good stuff?"	"現在……關於我的紙條……你帶那個好東西來了嗎？"	"2120303/S 23/i 724/t 600 1900"
"HOoOoOoooh... that smell... this is really sweet stuff!"	"嗚噢噢噢噢噢噢噢……這個香味……一定很甜！"	"2120303/S 23/i 724/t 600 1900"
"...it's my favorite sauce... it makes me very happy."	"……這是我的最愛……我很開心。"	"2120303/S 23/i 724/t 600 1900"
"...You've made a friend today, @."	"……你今天結識了一個朋友，@。"	"2120303/S 23/i 724/t 600 1900"
"I've got something special I want to show you..."	"我有個特別的東西想讓你看看……"	"2120303/S 23/i 724/t 600 1900"
"The bear left you with his special knowledge..."	"那隻熊傳授了特別的知識給你…………"	"2120303/S 23/i 724/t 600 1900"
"Salmonberries and Blackberries are now worth 3x the gold!"	"鮭莓和黑莓的價格提高了 3 倍！"	"2120303/S 23/i 724/t 600 1900"
